"WY","BCR","BH","BSF","LBR","LR","SF"
1901,554.310389518738,917.171916007996,670.825583934784,897.002027988434,870.905081748962,783.313404083252
1902,455.184509277344,673.506669998169,532.867139816284,703.417044639587,650.963453292847,516.142275810242
1903,536.411220550537,746.951939582825,691.622403144836,923.690861701965,841.220128059387,586.134310722351
1904,655.814502239227,1078.57861042023,793.227535247803,1067.61158180237,952.302891731262,729.03141784668
1905,476.61526465416,608.854293823242,518.276754260063,668.010747909546,634.617627620697,543.225881576538
1906,646.873510360718,926.646140098572,708.929759979248,891.601163864136,903.664470672607,672.706058502197
1907,754.549932479858,1115.65547370911,947.999952316284,1260.1664352417,1172.65679836273,829.924866676331
1908,610.183870315552,909.497890472412,697.383937835693,863.145069122314,855.013158798218,648.561641693115
1909,855.964241981506,1266.82229804993,1083.94923114777,1417.13902187347,1381.67401123047,981.955413818359
1910,556.635618686676,782.572014331818,670.817291975021,912.467228055,859.615367650986,608.925040721893
1911,675.288913823664,1034.21553039551,915.544958919287,1157.88404273987,1166.58546066284,760.846566200256
1912,621.512002944946,908.370441436768,719.076944351196,911.903064727783,964.271789550781,752.419382095337
1913,627.253128051758,911.899314880371,765.126602172852,875.800888061523,1030.46765518188,705.874877929688
1914,656.835629463196,989.448463439941,829.475086212158,1056.811835289,1083.6506652832,762.979449272156
1915,580.76709651947,797.135388374329,709.427250385284,916.949761390686,932.135761260986,668.522232055664
1916,537.151084899902,794.871529340744,699.543509960175,910.297005653381,939.266921043396,662.246037483215
1917,682.043005466461,902.763854026794,847.626583099365,1041.44311618805,1144.41009902954,811.220717430115
1918,511.974438667297,696.898850440979,655.628170967102,747.641896247864,866.355612754822,694.399696826935
1919,459.455074002966,685.740589141846,540.627725873142,663.3733907938,712.33909291029,534.554757833481
1920,634.276436805725,914.571504592896,767.68598651886,955.301433563232,1030.97477149963,691.984968185425
1921,686.197777748108,1013.23705768585,877.854222297668,1102.85171890259,1214.43677043915,749.75768661499
1922,664.805448532104,932.042825698853,824.44041633606,1023.35749053955,1095.12818717957,781.748408317566
1923,734.51951789856,1025.37667655945,931.439245223999,1210.28325653076,1188.61405944824,834.888437271118
1924,377.917764663696,499.699420928955,459.87548160553,575.602242469788,602.490491867065,477.760314464569
1925,700.903202056885,985.88497543335,891.159976959229,1205.898853302,1160.20554351807,907.640340805054
1926,582.478838920593,779.457129478455,739.037268638611,953.997421264648,956.918128967285,694.040134429932
1927,675.520128250122,978.764400482178,841.002237319946,1048.36764717102,1110.31222724915,854.238611221313
1928,503.918422222137,755.676923751831,626.821801185608,771.790801048279,857.396668434143,676.042090415955
1929,665.959403991699,1045.19519519806,848.412527084351,1167.53426837921,1075.07144069672,808.411991119385
1930,556.657269477844,766.000058174133,689.306396484375,830.634298324585,888.001388549805,648.042203903198
1931,393.796781539917,564.056523799896,482.835237503052,588.19186592102,642.815695762634,472.947755813599
1932,632.267042696476,869.12513923645,793.068421602249,946.030717849731,1093.58067810535,787.891009449959
1933,490.583506822586,685.87520301342,617.777364015579,794.990700244904,816.715087413788,574.839100837708
1934,359.013571739197,474.911946773529,449.89075922966,563.517377376556,592.859308719635,464.410889148712
1935,529.737092733383,730.644264698029,640.33992433548,808.77296090126,853.37434732914,691.939173698425
