"WY","BC","CC","EC","LC","MC","PC","RB"
1901,1214.69484901428,863.91792011261,800.94907283783,1583.47972011566,1028.13555240631,832.840458869934,824.258847236633
1902,821.163669586182,704.822083473206,625.348585128784,1037.78829574585,732.648900032043,625.142612457275,652.822142601013
1903,1002.72468090057,783.529457092285,707.919396400452,1319.04528713226,864.594550132751,719.56937122345,741.687417030334
1904,1477.98114871979,1085.62104225159,983.07749414444,1809.82144546509,1243.95197296143,1025.2961025238,1021.37592124939
1905,739.351600646973,645.362284660339,585.541981697083,911.457168579102,668.706045150757,586.066274642944,610.338760375977
1906,1137.82997226715,928.186235427856,851.081749916077,1388.45455169678,1019.13677787781,863.642405509949,883.468708992004
1907,1425.63449954987,1113.63617897034,1017.43366241455,1761.63553714752,1224.34512710571,1029.31952571869,1064.51617240906
1908,982.346616744995,874.434776306152,807.03413772583,1229.52372169495,899.454713821411,803.805730819702,837.686698913574
1909,1747.47176933289,1371.30259799957,1301.1981010437,2137.1032075882,1513.03099822998,1328.60772132874,1329.95948886871
1910,1018.82328009605,821.703541994095,735.911055803299,1271.00484156609,882.823632240295,754.732591867447,761.392601966858
1911,1298.6060256958,1092.43712472916,1006.41734933853,1549.71399879456,1148.20304250717,1010.96155786514,1043.40007710457
1912,1123.73065567017,935.841751098633,849.720863342285,1373.86800003052,999.25895690918,861.638050079346,878.949649810791
1913,1029.13228607178,837.357273101807,775.285957336426,1260.48075675964,913.412746429443,793.282329559326,792.931604385376
1914,1236.36511993408,924.073628902435,863.502643585205,1468.70910453796,1047.17988586426,892.762366294861,893.382880210876
1915,952.423144340515,750.15708398819,690.070348262787,1227.48641872406,817.407727241516,710.186411857605,709.442585468292
1916,994.217355728149,742.654575586319,667.927999258041,1243.16267299652,833.935943126678,699.902479887009,685.982789754868
1917,1090.90332984924,929.243579864502,819.011362075806,1331.71419334412,968.974067687988,840.703095436096,868.967344284058
1918,954.366251945496,627.180040359497,583.964258670807,1182.68391704559,836.246398925781,649.295862197876,602.189184188843
1919,756.184869766235,583.388800621033,541.726717948914,901.810450553894,658.902270317078,568.260071754456,557.886626720428
1920,1086.8660030365,861.046420097351,786.93193435669,1284.87393951416,959.360424995422,812.462446212769,816.322439193726
1921,1224.98266410828,892.162355422974,781.385610580444,1595.44056987762,993.297475814819,828.894296646118,816.478086471558
1922,1220.20244550705,847.930254936218,747.002945899963,1482.31554794312,982.877810955048,795.082682132721,781.80050945282
1923,1357.66603088379,1034.52230834961,902.629726409912,1646.35746002197,1146.34574127197,942.193731307983,954.85626411438
1924,621.42670249939,480.487783432007,434.479371070862,758.206888198853,535.723725318909,449.610041618347,448.07167339325
1925,1148.50472640991,913.240245819092,826.271873474121,1444.20236587524,990.501472473145,848.338459014893,861.047233581543
1926,833.042554855347,691.010785102844,629.969302177429,1013.02922344208,749.937184810638,644.02500295639,650.291705608368
1927,1134.8514289856,865.694975852966,785.250192642212,1424.1446723938,988.617750167847,815.963624954224,812.33883857727
1928,931.867854118347,774.359794616699,702.961403369904,1132.00918388367,835.477416038513,716.363990783691,728.256249904633
1929,1344.25232124329,1065.28159713745,956.719830513,1649.94411277771,1181.63761806488,981.801691055298,996.242979049683
1930,846.364903450012,719.48348903656,674.136776924133,1004.44379234314,785.990077972412,687.883204460144,691.252628326416
1931,641.936148881912,538.338487386703,489.066540956497,794.210257291794,582.354686260223,498.012447595596,506.07176399231
1932,1003.01102876663,841.231569945812,731.25988304615,1250.21215009689,870.49239730835,744.619472503662,769.848582029343
1933,923.94992184639,740.37889289856,633.200122833252,1154.1565144062,777.760271310806,641.10414814949,676.57580268383
1934,610.823772907257,471.805972099304,407.02300453186,762.829360961914,513.026206493378,419.873002529144,430.678031921387
1935,912.336669445038,826.944314002991,718.468705177307,1149.20048713684,823.225283622742,715.44375705719,767.211647987366
1936,1127.09170055389,949.752297401428,846.822654724121,1331.21363258362,967.979837417603,835.107860565186,909.787396430969
1937,974.504737854004,829.201954841614,744.056885719299,1203.71508216858,869.193751335144,757.158414840698,770.942770957947
1938,1083.1602230072,861.886310577393,776.813055992126,1349.04789447784,945.494778633118,797.508532524109,810.309631347656
1939,823.866589546204,687.644112586975,633.909769058228,1029.36094284058,747.960499763489,648.109273910522,649.401476860046
1940,767.954385519028,791.577056050301,667.964674115181,950.724207162857,725.976315259933,645.755945324898,728.63641756773
1941,1045.44345474243,847.890707015991,771.030246734619,1278.00466537476,955.840364456177,811.687425613403,809.286394119263
1942,1088.70517539978,883.39476776123,768.6155834198,1377.77096748352,966.135600090027,793.361324310303,821.69714641571
1943,990.63204908371,773.542842149734,693.69794511795,1252.59651947021,847.656779527664,711.647451162338,724.275744438171
1944,1033.62677209079,853.096575260162,764.690896034241,1253.55432763696,925.70658275171,775.211394309998,807.737904071808
1945,1063.25083637238,812.794616699219,744.00874710083,1306.93274116516,911.913241386414,768.24270439148,765.476700782776
1946,953.504779815674,754.10933303833,679.917947053909,1223.39151239395,838.814700603485,700.239664554596,704.667954683304
1947,1171.2264175415,940.546433448792,870.048165798187,1436.46966743469,1029.31552171707,889.060405731201,901.360548019409
1948,1042.3910112381,828.911202430725,734.446699142456,1316.8649930954,897.841709136963,746.867015838623,774.480754852295
1949,1090.44250297546,923.968870162964,803.095554351807,1395.5792388916,965.21471786499,816.480006217957,854.148062705994
1950,1159.14381361008,871.948843717575,783.089344978333,1482.67454433441,982.793207168579,813.959578037262,816.08185338974
1951,1102.73354148865,845.301988124847,762.745884418488,1415.87594270706,938.111927509308,787.200230121613,787.948802471161
1952,1332.19111871719,1087.85841751099,950.51930809021,1663.9178609848,1142.4861292839,965.311093330383,1005.64957141876
1953,951.536180496216,845.850172519684,723.340197086334,1204.14362287521,847.414747714996,717.375594139099,780.764847755432
1954,920.255819320679,707.637243270874,631.417531967163,1163.68990516663,789.955284118652,647.049554824829,658.993185043335
1955,1136.4612197876,861.538751602173,720.41554069519,1457.35893249512,931.414836883545,734.414896011353,785.869541168213
1956,1102.27779197693,849.046577215195,745.20588684082,1417.73328304291,930.214322090149,762.741665840149,787.387790679932
1957,1158.1058177948,989.849190711975,886.233378410339,1439.43545246124,1047.22589874268,895.379071235657,929.195348739624
1958,1099.94698393345,879.895178675652,759.937896847725,1410.87876427174,937.746287107468,765.523606657982,817.960474014282
1959,1025.58530187607,819.962395191193,733.965344429016,1294.07767724991,886.333342552185,744.056116580963,770.946418762207
1960,829.804194450378,645.391210079193,555.377097606659,1049.17286586761,699.249011516571,569.230724811554,591.872158527374
1961,817.684941977262,642.297317028046,567.356349945068,1026.19588998705,689.504133701324,578.447357654572,604.927181720734
