"WY","CC","EC","LC","OSF","WO"
1901,570.267339706421,684.581298351288,634.39755487442,823.5478515625,1047.84430980682
1902,434.635835647583,496.329941749573,499.062537193298,628.473282814026,779.003128051758
1903,482.082299232483,616.134300231934,582.292816162109,800.5586977005,844.77163028717
1904,683.300317287445,903.748164176941,769.035530567169,971.06677532196,1250.13723564148
1905,437.612741470337,504.362722396851,478.013536453247,585.762587547302,668.88516998291
1906,654.23886013031,764.14041519165,690.517248153687,816.77921962738,1039.03820705414
1907,725.229976654053,913.996706008911,836.136606216431,1093.43960857391,1327.4044303894
1908,626.538019180298,661.921067237854,666.404661178589,794.120195388794,1030.81348228455
1909,800.049558639526,1150.69623088837,930.239813804626,1262.91257190704,1485.09691810608
1910,504.017331123352,649.136285305023,617.457594156265,822.107610225677,876.403090715408
1911,666.713326931,847.482531547546,740.936598539352,1001.28621959686,1235.21930503845
1912,631.987730026245,722.31760597229,681.118104934692,840.546047210693,1038.24654388428
1913,607.921932220459,685.424055099487,646.242795944214,794.691822052002,1009.60928153992
1914,647.423524856567,823.857141494751,707.360827445984,906.347829818726,1113.79943275452
1915,532.698786258698,616.426064968109,599.185312747955,771.803367614746,885.350685119629
1916,495.584614038467,646.149646043777,595.821258544922,792.636890888214,879.178068637848
1917,596.282044887543,741.774199485779,700.377540588379,906.895502090454,1035.76088142395
1918,471.084843635559,592.419878959656,522.52272605896,645.174757480621,784.924288272858
1919,428.852339982986,528.706285953522,471.341974880528,583.58558909595,739.847441196442
1920,598.827126502991,718.932059288025,651.918910980225,838.244402885437,1009.83642578125
1921,639.836932182312,806.23652267456,705.98760509491,932.138862609863,1149.73461532593
1922,595.084271430969,800.194516181946,679.008385658264,873.414661407471,1066.35989761353
1923,661.752939224243,905.420639038086,742.923177719116,1010.81109809875,1187.79092025757
1924,343.112182617188,414.04438495636,386.244002342224,497.432382583618,554.847067832947
1925,628.05838394165,758.095123291016,731.523822784424,998.210739135742,1102.65187454224
1926,510.89979839325,560.011008739471,597.17552947998,793.268832206726,835.249969482422
1927,595.091428756714,705.776498794556,682.090810775757,906.552946090698,1068.71057510376
1928,467.093087673187,597.214068412781,523.543032169342,682.774824142456,842.776042938232
1929,645.495816230774,834.698781013489,740.882273674011,1028.17153835297,1186.88845443726
1930,505.72007226944,582.096893310547,557.844082832336,707.958451271057,815.779214859009
1931,353.31466627121,404.984583854675,393.388860940933,498.457103252411,617.976298570633
1932,544.499087452888,650.123224973679,636.540027558804,813.39459964633,970.617066383362
1933,416.02801656723,556.818112134933,508.122622489929,681.111804008484,792.219682574272
1934,290.727289676666,372.561323165894,357.263625144958,476.215321063995,543.734972476959
1935,476.940427064896,573.958576202393,553.129292964935,721.518947839737,842.388220310211
1936,543.437902450562,734.26529788971,663.356038093567,885.361041069031,999.901584625244
1937,561.775103569031,661.603938102722,656.111707687378,851.723846435547,963.414333343506
1938,558.241985321045,694.986281394958,624.143136978149,797.0189037323,995.711345672607
1939,469.651798248291,548.339493751526,538.746680259705,700.98406124115,807.581512451172
1940,456.287015660724,512.231071770191,534.900499343872,700.460937790355,794.768484294415
1941,601.473537445068,700.304317474365,690.352914810181,853.265277862549,962.569690704346
1942,533.917640686035,650.370277404785,623.33679485321,812.999237060547,929.973930358887
1943,513.682608127594,622.89257645607,572.642882108688,731.736319541931,892.497462272644
1944,551.329038819906,644.387457601726,576.97664308548,718.972167491913,929.635008722544
1945,590.987205505371,680.77241897583,658.299902915955,827.818902015686,990.507579803467
1946,474.928022146225,589.305407762527,548.066904067993,696.942079544067,830.389115333557
1947,663.416564941406,761.008102416992,719.410200595856,881.399369716644,1050.49916648865
1948,498.508313179016,603.336305618286,574.129211425781,755.683077335358,867.094664573669
1949,572.259624481201,721.94155216217,667.303202629089,858.944296836853,1005.19881439209
1950,543.526716470718,742.472117424011,628.23611330986,795.332890987396,964.132358551025
1951,553.175053596497,689.390823364258,656.149180412292,846.384524822235,959.09624004364
1952,674.433814048767,861.297013759613,770.641207695007,995.038802146912,1203.16993904114
1953,484.571547031403,593.848582744598,570.533705949783,749.293870925903,909.004627227783
1954,428.575031280518,552.560535430908,475.753206253052,613.086978912354,766.597589492798
1955,507.979417800903,646.616333007812,589.609148025513,791.748292922974,975.382764816284
1956,476.401372432709,634.861073493958,582.845863819122,790.623856544495,911.258164405823
1957,618.117925643921,746.971069335938,683.127056121826,858.136481285095,1074.36461639404
1958,474.574496269226,638.443115711212,590.17501783371,819.742604255676,943.246160745621
1959,521.194282054901,639.238722324371,588.631222248077,737.755995750427,885.222994804382
1960,363.517755508423,490.420836448669,431.458852291107,575.721355438232,703.467659950256
1961,443.455282211304,523.113447879092,485.64269733429,611.329099655151,745.003860473633
1962,567.021084308624,713.498047828674,667.260730743408,863.859571933746,1020.77941799164
1963,524.516984939575,623.606167793274,575.498322725296,724.048801422119,894.623760223389
1964,565.814385414124,648.661313056946,623.781482219696,785.399426460266,984.718544006348
1965,687.44118976593,862.015148162842,801.921901702881,1046.67070770264,1166.26624107361
1966,414.80559015274,513.199824810028,465.787397861481,598.944346427917,744.357902526855
1967,594.908567428589,712.730805397034,670.779128074646,834.736707687378,994.183647155762
1968,637.261456489563,761.04349899292,700.266398429871,871.068885803223,1077.73597717285
1969,586.40292930603,762.225746870041,688.447808742523,894.854965686798,1079.27956438065
1970,575.007745742798,690.584800720215,635.093683242798,814.109641075134,1003.22458457947
1971,599.464220046997,722.081748962402,713.445665359497,936.956533908844,1026.13362503052
1972,526.894593715668,665.887424707413,641.216276884079,851.369932889938,904.757269859314
1973,676.08060836792,788.155055999756,749.555946350098,940.686935424805,1116.35209655762
1974,465.878110170364,558.405329108238,558.618223130703,741.77645355463,848.618010759354
1975,640.557235717773,750.012763977051,742.128344535828,969.318999290466,1121.69084739685
1976,499.13492679596,539.579996109009,586.837944030762,756.654232025146,797.630669593811
1977,431.661436080933,479.591232299805,453.071601629257,549.216511964798,686.27052283287
1978,648.406818926334,811.404022216797,761.247880458832,963.367364168167,1135.08332180977
1979,409.225293159485,542.992444992065,496.714842438698,672.01756310463,740.799620628357
1980,657.645057678223,813.687209129333,763.243785858154,959.512447357178,1045.70597267151
1981,558.650025844574,613.192714691162,497.503930091858,573.957632303238,848.312461853027
1982,819.603967666626,1063.41681861877,955.9333152771,1219.3007144928,1369.17164230347
1983,736.140296936035,921.113876342773,838.656812667847,1063.40670776367,1129.65670013428
1984,742.888780593872,931.2204246521,836.559316635132,1086.44192504883,1188.97370910645
1985,568.629186868668,737.472480237484,654.472600460052,843.984859466553,946.406566619873
1986,816.999507904053,992.992377281189,935.445675849915,1192.32526493073,1360.6256904602
1987,450.307499885559,517.963084697723,444.156000137329,554.144972801208,785.25933265686
1988,390.680281639099,437.919846773148,413.6007771492,543.301570415497,668.572483062744
1989,558.448633670807,623.33603477478,592.720710039139,744.552359461784,914.6758852005
1990,482.188776016235,540.707768440247,496.790700912476,617.922626495361,854.44047164917
1991,573.904457092285,696.222547531128,630.043419361115,795.100357532501,969.109859466553
1992,438.892435073853,479.55513381958,429.969673633575,526.673557281494,707.992542266846
1993,745.466010093689,889.092043876648,793.931571006775,982.643575668335,1154.7222366333
1994,464.332390785217,577.640813350677,498.282716035843,631.03488445282,770.129114151001
1995,751.809144973755,942.834173202515,791.236268997192,985.601249694824,1170.33714485168
1996,585.337449073792,728.593692302704,628.875697135925,791.664724349976,994.784072875977
1997,720.127828598022,853.905788421631,913.420810699463,1164.67814826965,1207.06552505493
1998,641.885543823242,817.943155288696,780.77677154541,993.521629333496,1055.62434768677
1999,645.48055267334,753.781173706055,700.538146972656,854.839050292969,1027.91781234741
2000,472.713131904602,556.141225814819,515.938953876495,640.667721748352,785.819192886353
2001,436.070127487183,555.478930473328,465.601895332336,576.176532745361,707.961576461792
2002,489.968906879425,596.814198970795,548.66601228714,684.214341640472,785.094403266907
2003,510.875912666321,523.436883926392,495.111066818237,583.896500587463,780.980812072754
2004,497.099738121033,653.223297119141,600.603464126587,764.098171234131,763.524475097656
2005,657.028184890747,860.017108678818,766.335530519485,966.7572504282,1066.43023395538
2006,612.743392944336,825.001941680908,753.344861984253,968.125394821167,1023.48291778564
2007,507.495158195496,575.279888153076,512.248288154602,636.141840934753,810.2619972229
2008,540.557283163071,670.654772996902,586.923623919487,754.908006310463,959.735336303711
2009,649.781476974487,738.338912010193,690.188981056213,862.069789886475,1041.64415931702
2010,566.263789176941,668.71436882019,566.359851360321,679.016459941864,895.140079498291
2011,839.998046875,978.005458831787,918.563539505005,1169.16603851318,1332.16821670532
2012,393.049255371094,488.798467636108,434.53383409977,574.912906289101,641.288483709097
2013,514.151086807251,678.692952543497,469.547327041626,603.502705618739,791.586349487305
2014,614.717916488647,703.802871704102,664.961837768555,846.90686416626,974.151834487915
2015,446.824613571167,569.446342468262,507.856550216675,651.839017868042,715.325332641602
2016,531.972554445267,626.740568637848,599.889570340747,810.157945718616,832.322959661484
2017,684.001730918884,847.417724609375,803.558225631714,1068.82686328888,1106.31886672974
2018,352.288776159286,464.300104856491,382.479483127594,497.477802395821,531.202558994293
2019,591.47695684433,867.734981060028,704.023680210114,948.539562702179,1023.68144226074
2020,379.657551765442,528.792469501495,464.406436681747,613.49677324295,659.342497348785
2021,437.476414680481,576.837885856628,440.152506828308,530.28028011322,682.857967376709
