"WY","BCR","BH","BSF","LBR","LR","SF"
1901,4.95804387086058,1.579916241071,5.74367701582713,6.58926222438682,5.29821514462772,2.80865646568063
1902,4.81115193399665,1.38632496775013,5.45551468966758,6.23112739798141,4.98895764481531,2.5846353201017
1903,3.2267790983801,0.144770735257292,4.19812316143349,5.07305016217575,3.71318858486332,0.701495281310931
1904,4.31153900050075,0.975755373606346,4.82758412139663,5.60456235503238,4.40627997103936,1.92584196832336
1905,5.04362052940342,1.58907087669797,5.80512560589673,6.50610116148648,5.3887794550151,2.66278435400088
1906,3.39160468708979,0.205359909877385,3.94645984107501,4.73266351680233,3.45870778560638,1.24439861472339
1907,4.49625572774508,1.16958503363884,4.94496285441804,5.67203300146207,4.47959013540451,2.34101139094732
1908,3.92945886342252,0.706104303969712,4.72861116721493,5.5211424008419,4.28892110719707,2.02346293652644
1909,3.80624616407368,0.296208178833739,4.436881536327,5.17362916289944,4.07145524808805,1.92414869217023
1910,4.75438269246114,1.49674925167267,5.1838375615747,5.96167396715243,4.79386673496194,2.58251283642364
1911,4.62598667144775,1.52888268575276,5.18302388195306,5.95081910466495,4.71503960077893,2.27926448844884
1912,2.88729614377673,-0.484981819254453,3.69880233371193,4.49984529207313,3.28075357538755,0.743836604180883
1913,3.72687181609951,0.0407748496695741,4.45671194007952,5.10966553655389,4.09365108143793,1.78233635458228
1914,4.54547964465128,1.25753002632154,5.37644905648003,6.13518963545969,4.97100893406019,2.36749526376594
1915,4.47421093542282,0.894629609748109,5.31079985311587,5.99520999699423,4.93864523768425,2.40158929759509
1916,4.29203039342588,1.13655354628146,5.23828728488886,5.97010895886708,4.81715170216691,2.12245734467532
1917,1.76478732579375,-1.53230688086111,2.59745367961387,3.42247488074107,2.2793143736173,0.131235722319721
1918,5.3859162569046,1.37436492769686,5.68584314217306,6.2622563709237,5.44616179083512,3.31045136239431
1919,5.50088725351308,1.35305135225596,6.30284021553928,7.01882086012461,5.85863963561515,3.14902334735818
1920,3.75035048491968,0.15986718831818,4.24871199427407,4.98318191157664,3.7825760779485,1.13758922942349
1921,4.46655720102869,0.775891111811546,5.13782389784512,6.08128527680489,4.65504726318464,2.3307913600582
1922,4.0355156679676,1.01699369639566,4.89595602816098,5.906327234229,4.2915737733449,1.68868253524989
1923,3.6360279102848,0.363618206651243,4.45726160872472,5.39226762562582,3.92477752476522,1.4993793131554
1924,3.70045030573027,0.699712542771194,4.52760379105969,5.5045618844814,4.04700989447168,1.52341278801199
1925,4.2401606300514,1.04011797357912,4.86337028856147,5.67191549653876,4.41297562857197,2.42280229868954
1926,5.17040115872475,1.69667495832051,5.77396406523169,6.58446615950702,5.31010272363073,2.96856912652107
1927,4.61043739776089,1.19125907649733,5.21298860556459,6.00144463695892,4.71719655402719,2.44431895393215
1928,4.65132994514183,1.23981405867905,5.32471332084286,6.16760799598173,4.77836822221677,2.19700849365667
1929,3.035850630721,0.034560813642528,3.94805484242635,4.8206451245775,3.46820983690758,0.859267389611022
1930,4.6830978533993,1.44643562264638,5.35463307516216,6.2044256369545,4.90716564459343,2.63323018583533
1931,3.85236988067627,0.803795559602241,4.42634518571096,5.31272248919696,3.93353657591833,1.76018382751778
1932,3.07576926940126,0.146212343961163,3.92740009847234,4.8449642094758,3.44422084972507,1.16846694609995
1933,3.21438931349206,0.0803606851460183,4.04333079547098,4.86476999733546,3.50129216746108,1.37760674169619
1934,6.7954034465633,3.44928497737401,7.70494040120138,8.54198737748682,7.19206682423206,4.87644768218472
1935,4.74554685746154,1.72223481478756,5.68959020163915,6.68946671616541,5.10648232747431,2.57999945111471
1936,4.50844181561079,1.32726597525383,5.43653972487632,6.23804466222805,4.80764186838285,2.16329972112114
1937,3.73460367738384,0.561699887497784,4.53085407361592,5.22898109302129,4.04586641951783,1.62001588050633
1938,5.43797223078061,1.8365163672052,6.26760256355756,6.72283038366331,5.74138148974066,3.12357955566824
1939,4.11127556056192,0.659963438608875,5.06439998313172,5.46820611616928,4.69417717032237,2.53158231696037
1940,6.15866969501386,2.54674312537485,7.03795670469602,7.53848864618546,6.63531530685112,4.3658069251665
1941,4.52773084820133,0.966488962957304,5.32821568446617,5.99424538743006,4.90504760305359,2.63671740375153
1942,3.56771010666677,0.303888916152797,4.25543397877314,4.99975182060216,3.81600503202987,1.61895612429266
1943,5.07312226556752,1.70113890595632,5.7696774474562,6.66260767652564,5.17467062212017,2.58641280148127
1944,3.85627647224671,0.59747807836272,4.58705899599797,5.36170945955756,4.065814301453,1.73064010732812
1945,4.27278012674149,0.734987641687262,4.91802387106909,5.7000165090169,4.36975079921827,1.90132315191504
1946,4.24972108096293,1.35297300913563,5.24606482427414,6.16146650510291,4.7065219086327,2.09613580638415
1947,4.49454252319793,1.08281982549249,5.32849835288035,6.14481126008785,4.90021381868075,2.44850137478685
1948,3.9709451511258,0.69479985641,4.75517457169913,5.56258157823907,4.47607724653567,2.14792270380291
1949,3.0594056710805,-0.025122236225703,4.41431988020466,5.38574338522676,4.20606079689444,1.58259929238933
1950,3.76681915244011,0.497240497314767,4.88303332230816,5.84371283854524,4.5599330673479,2.04286513534719
1951,4.98061575007765,1.66416728627192,5.83586703097984,6.79536022780693,5.54875107170784,2.69359912480394
1952,3.03148886805675,0.382099803720341,4.45406144564269,5.46632811085122,4.29514015046625,1.49213183935874
1953,5.12257804315384,1.32099229554607,6.00410361012367,6.98268339927882,5.67386114192131,2.92495835513285
1954,5.44410469923934,1.93770220769595,6.19064425866898,7.17267188356347,5.95824645120804,3.28415964939823
1955,3.31432529704212,0.330844745244065,4.2022550667802,5.14957722703071,4.07996625377707,1.66343563557284
1956,4.42872839221537,1.22153917231846,5.2352817126962,6.39293467672796,5.10919456599189,2.44076506687644
1957,3.88639403401989,0.625314470186625,4.7238662668389,5.64947970632004,4.46978238298468,2.07827216472528
1958,4.194002951008,1.00463299751282,5.0375927996962,6.03477305059564,4.87639466377154,2.44572804072132
1959,5.03392368538739,1.74943936050755,5.78179633846022,6.85194309317086,5.47985005901284,2.8780414248166
1960,4.73470905569733,1.37415628306201,5.42894597494049,6.35088756403636,5.12461878188321,2.64298158069777
1961,5.14754716304884,1.69862244619082,5.74900074821629,6.707277749785,5.453405287821,3.01679484803383
1962,3.563157904638,0.480448004644211,4.50644750921694,5.51286905759001,4.21181031841121,1.49592531478568
1963,5.36331438920269,1.98904447686182,5.89948670896765,6.79012660098403,5.60966326896458,3.74594348816022
1964,3.48004371709511,0.483056083402998,4.05324851978021,4.90607668793267,3.79954710578332,1.68149739459076
1965,3.87064883088412,0.203527386711068,4.79454555315514,5.49578520435176,4.21698314719004,1.74246740863748
1966,4.24284964783551,1.48193727062173,5.34680290744729,6.5569408180779,5.18852083029812,2.42532662338998
1967,4.40912875182008,0.99617325835032,5.27861720984929,6.26072496584017,4.87749161230375,2.59179974549437
1968,4.09134399166198,0.645680712871864,4.59133917646981,5.68355433993001,4.2891505753082,1.98169827330959
1969,4.33560544562666,0.988384897251652,5.30540881679483,6.20139194514653,4.82023399496732,2.30368416211376
1970,4.73292661529698,0.705207388694972,5.13024716267031,5.79738673869878,4.6114455441906,2.4697073425077
1971,4.059873821964,0.50502767889467,4.72966191223631,5.51400291723748,4.19539142928711,2.16484481578004
1972,3.93433028850399,0.755279683513068,4.88075944178743,5.7423382541521,4.44593676322145,2.13912103215202
1973,2.70762989300571,-0.481438246165236,3.70770051512,4.5872767761962,3.37752951955142,1.37008418644944
1974,4.1543549874874,0.774829500015468,5.04565356757543,6.06539189717541,4.70196927900184,2.45623250530191
1975,3.28482782906049,-0.192639792292085,3.95892989839593,4.80806016187145,3.63005595533815,1.57576409235393
1976,4.04651204223841,0.803685997353225,4.66627380365882,5.59060425575965,4.36578730286145,2.17837402310039
1977,4.70831448803209,1.09141910412948,5.18648695766109,6.11413169821648,4.86869153068082,2.75366532639281
1978,5.07212285226441,1.6397129091498,5.55328980161719,6.49755223597566,5.20312678617974,3.04198612546268
1979,3.59036459073628,0.747409596508496,4.28875935028677,5.38654404045784,4.03677085523736,1.73720818953971
1980,4.61197184930082,1.33100437727131,5.18971452589243,5.97934236015127,4.90180794169994,2.4166053413042
1981,6.18780264887091,2.8959341323539,6.34978861972077,7.19826887535722,6.21786283319944,4.03650682919646
1982,4.42706154535894,0.772272569186067,4.90110937144658,5.76853436425588,4.4093457277507,2.03986474324579
1983,4.0941510388296,0.759609576814795,4.83871969784776,5.68271395768205,4.42877655949903,2.02587846958474
1984,3.35897046457874,0.43821616576669,4.14287697747757,4.99320343397354,3.78193579508307,1.58891791593833
1985,2.75607354085739,0.222920035336116,3.55086839819608,4.63306056212072,3.29908713118671,1.25903483323038
1986,4.32210233440138,1.49104009621764,4.82864606478443,5.85993359284858,4.37198366400314,2.27187988468229
1987,4.50572706640583,1.15828169339324,4.66091979276644,5.52744714568739,4.39843378752878,2.7416100436694
1988,4.34033490139279,1.27672619356321,5.03997072300624,5.82516484964089,4.81521529773545,2.82796896546265
1989,4.46967001100109,1.53217034927786,4.93974207998955,5.76555948518727,4.57836205775607,2.61085434809123
1990,4.97378555716921,1.86496116363839,5.28473206309423,6.05554018228838,4.77937908885005,2.91098445082364
1991,3.89628672469152,0.754073713250356,4.31802727718876,4.87326013905137,3.80865237908821,2.01919164820893
1992,5.02662547299119,2.15443595380731,5.8147582796102,6.49662558628562,5.32588993623608,3.12772501155205
