"WY","BC","CC","EC","LC","MC","PC","RB"
1901,5.23010479848679,7.4026702343397,7.7694171652402,4.1384479708051,6.111110744411,7.28555775243942,7.53988403777962
1902,4.60261254833169,6.9315027472091,7.27075540464218,3.63247392814453,5.52742772886198,6.72187161282317,7.02859001322968
1903,3.64580047163245,5.83785326301235,6.14174807447277,2.55655818279475,4.55013129482531,5.64173062108967,5.89616739113037
1904,4.28201757705277,6.42250706214722,6.68686401852167,3.1191088352047,5.16150968908612,6.23189939436365,6.48940982763233
1905,4.63263168943127,7.00638617914017,7.26516163643092,3.65331756464423,5.57711618991747,6.70731798720686,7.09032331786744
1906,3.20409988377192,5.46060084145363,5.79493003583526,2.20003389691653,4.1016161122959,5.27847866832393,5.57219544779764
1907,4.15237302988359,6.53511888903298,6.89067318202698,3.28326481629724,5.06148266139096,6.3446232868384,6.6325146099476
1908,3.74550873627428,6.1102590614655,6.44851850974755,2.83622241997328,4.67554460457765,5.89304103616808,6.20403687843208
1909,3.19504512973028,5.6396053945365,6.03272331017133,2.35286602941278,4.10122481012998,5.48574216708745,5.73683727332582
1910,4.44392330793485,6.77700320204643,7.13820984722817,3.51374457078437,5.35528522582903,6.59736415392732,6.89221459676142
1911,4.60193947161714,6.76643295582027,7.12296784724275,3.7143539030258,5.43830470532587,6.63594827749958,6.86822499853291
1912,2.61983739548042,5.21494384606679,5.56524365855371,1.73395209755402,3.62441547353411,4.91382046866287,5.33932912040278
1913,3.13281324367001,5.79097083496721,6.05077720504918,2.13227698411027,4.12038815873229,5.43888693704997,5.8568410857083
1914,4.60230022260587,7.20126012498385,7.64130010490548,3.61386815358515,5.69437218790185,7.00251921333679,7.3698548514549
1915,4.16935853427404,6.69056639769306,7.14300867029249,3.17996185642399,5.23618249950344,6.55007990125107,6.79862825054012
1916,4.31821994499756,6.83312989339802,7.30124665886327,3.39047606818663,5.40525786309946,6.71115801080329,6.95235090682415
1917,1.51973037589086,4.42251707168475,4.88944083043974,0.843251530764854,2.69466124593395,4.14759670936898,4.55891359146327
1918,4.43290092998171,6.70339639733915,7.09900821251412,3.62200889934416,5.26098960008319,6.60830441394897,6.66529136340912
1919,4.84326672880617,7.50299312186568,7.84012670876229,3.99455062199945,5.88085372105037,7.20788391305976,7.56274921502153
1920,3.45245575247322,5.78847717568075,6.16805435495726,2.42713070046055,4.35498341038579,5.65980084655715,5.86649247016656
1921,4.23391680333712,6.79021794757206,7.14785867447722,3.30121044655369,5.21264484287941,6.55036997615475,6.88354092360002
1922,4.18958781418735,6.69367320357937,7.05181928799577,3.22774098017444,5.16276603038997,6.46657597871676,6.78571112025274
1923,3.41842291159173,6.16226309064316,6.59506808617344,2.54901703122544,4.54755798888533,5.93401623556059,6.29372211270136
1924,3.87416337324622,6.54345350024479,7.03061098511753,2.83727033460727,5.0061388910631,6.3803625868155,6.72003609788874
1925,4.49022814149726,6.96154116441126,7.45062763788929,3.28195259113834,5.537156638054,6.88548692611799,7.15428515264433
1926,5.03088928999966,7.57102331102711,8.03895409499129,3.82374909283364,6.08763239081592,7.43885469522378,7.74895534841982
1927,4.51862476688542,7.12924436592076,7.53132459039557,3.44346509518689,5.56442853032726,6.92130741685221,7.26446103298501
1928,4.5193440199224,7.08703075341188,7.37026574279441,3.49852823738843,5.41847822200405,6.77393605409424,7.14344180216555
1929,3.43605772587535,5.98355241956776,6.37178530807364,2.345706255142,4.4651377067174,5.79041883096303,6.09934458422334
1930,4.74389748752934,7.35308280726002,7.80625799923166,3.64373406384089,5.84591573660504,7.20698749153581,7.4995339088244
1931,4.09994434526522,6.65113919499802,7.11936934484194,2.89872641171495,5.18410000180545,6.50265850677882,6.83655731335078
1932,3.62889571398334,6.36943603543147,6.85638688985116,2.50102147215702,4.83390986463411,6.18124484299311,6.57429126423117
1933,3.588758372444,6.18595605435437,6.71209440525264,2.42359999814262,4.83941305402207,6.12342609314069,6.34953682030717
1934,7.04335833738928,9.69108224192711,10.1830506571352,6.00542425194832,8.22470018773863,9.54115193445389,9.84468660174984
1935,5.1117065230461,7.71713445164161,8.06958821718007,4.1029734009341,6.14030323812406,7.48004180307258,7.80591933100599
1936,4.48789563595923,7.1282559747253,7.60332183466583,3.49232281557198,5.57232781544409,7.02675801678433,7.24534039891483
1937,3.30134756369134,5.99515167213466,6.6644016210347,2.39121872888852,4.37744664819273,6.12187300683701,6.15395969675012
1938,4.2332379644456,7.05070843002568,7.66791501665769,3.39996448085733,5.30101918847594,7.13781526427563,7.1373013943842
1939,3.1001295233426,5.95353232736457,6.58352840110047,2.28869780775619,4.21955390041822,6.0488197682655,6.04861377918557
1940,4.96495649658266,7.86287987601175,8.49715993419045,4.12258146467105,6.11644298417361,7.95176550361221,7.96311857188986
1941,3.62476645561114,6.23777050212638,6.59666992956645,2.70646553072211,4.58322636248314,6.09461966965296,6.27697850837283
1942,2.92588129827421,5.50588697831925,5.91027751001593,2.05514793624617,3.88669739128792,5.39771152032565,5.57018018062801
1943,4.53093690741552,7.1446768721489,7.51071658248771,3.65391672408744,5.53383288677425,6.96888761663274,7.18995457724349
