"WY","CC","EC","LC","OSF","WO"
1901,5.06186024587448,6.22661978447274,5.39483796015178,5.76883201566461,3.20712359082209
1902,4.90942315402096,5.5038409115517,5.26796341007703,5.48870844645043,2.88495066361885
1903,3.64994195520061,4.6320704443814,3.79127893970437,4.19680272618385,1.7273831516096
1904,4.45276824095861,5.19949652213868,4.71114893396044,4.75447164337492,2.5260544318319
1905,5.104164431683,5.34582124834191,5.39535108461772,5.67476016560646,3.04212008143125
1906,3.76252940272632,4.08724760535645,3.92458732136308,4.03650641706708,1.6847629472001
1907,4.72106771256826,5.28364248847308,4.9772765374347,5.0757690240259,2.59692057942691
1908,4.21175956921499,4.67030661158223,4.400437455034,4.75749513971024,2.13741549181808
1909,3.83626916277899,4.38197057737063,4.11500986765509,4.50777989283,1.64399021063765
1910,4.97115160969839,5.40090463324769,5.24939423897495,5.3619751598737,2.87981371601967
1911,5.03641354734563,5.704123300069,5.2333778921872,5.39107792622423,3.0171942303442
1912,3.09097919372913,3.52606627905914,3.27180331912848,3.67448950530401,0.894816996621304
1913,3.60319396975922,4.15536650887703,3.93418671545917,4.27791857317805,1.40555273310779
1914,4.75305623942859,5.44099918936622,4.9747009360627,5.40759005089329,2.70022908073582
1915,4.4623936564955,5.10012388995861,4.74336692360166,5.14437351635058,2.30437185013131
1916,4.5075119420316,4.94655978353949,4.70450888437733,5.19722734302119,2.68971654854186
1917,2.05401358490121,2.30142111321018,2.20762712596214,2.80106777132374,-0.180815400489389
1918,5.15815768727701,5.79009672954985,5.47885552383449,5.63369297540351,2.95276935753757
1919,5.1038524826912,5.48027136293176,5.6574497451521,6.16403155849405,2.94941421142996
1920,3.83295720538297,4.53954580833352,4.14457413814758,4.31750747512598,1.69636898451164
1921,4.56236452729735,5.10429473658131,4.89870100641904,5.37857674017344,2.35135330533328
1922,4.55128704554414,5.01003107240755,4.72895336494054,5.10165186925498,2.47140937961944
1923,3.86616304933208,3.95407613466864,4.22339498572154,4.70789034856509,1.69761113467282
1924,4.25709852118228,4.57517750145959,4.49834174984466,4.81571357725748,2.13440898419078
1925,4.61331318494392,5.46982985506319,4.6193140340178,4.88938509389146,2.66627838513623
1926,5.19859379513623,5.97573330108434,5.39692778383216,5.7909113820285,3.18904198555097
1927,4.77847022814293,5.38044140763479,4.95164609935186,5.28992123669141,2.78541164328791
1928,4.77556139271442,5.2597981828158,5.07335495256661,5.42764164499246,2.85267550429034
1929,3.6638752578056,4.25508405894858,3.7315187591396,4.10087148359377,1.67548005417602
1930,4.99918062915541,5.52166763903343,5.25827907438148,5.51265842608393,2.95104666670708
1931,4.28946155587288,4.98211670771037,4.53613423386665,4.61361862012785,2.29528474285178
1932,3.62123148037436,4.27024452933848,3.84080366945006,4.15207480798002,1.72483277320862
1933,3.58838032826985,4.15402176314837,3.83206047097298,4.15905579867428,1.64590829104593
1934,6.92131803509307,7.51073552451722,7.31064932787255,7.75950106676311,5.03814516100165
1935,5.26358983875954,5.91604001620044,5.49690663553264,5.95920071405907,3.30876263722981
1936,4.86160346328235,5.44729202627484,5.21650588316996,5.55155423039296,2.76781843073381
1937,4.21589882210509,4.70915373416796,4.53499744885588,4.66191543977555,1.87292273665128
1938,5.5509752038407,6.03404842174217,6.0125361873679,6.14320272909452,3.03510149733661
1939,4.3615398243682,4.82890494669953,4.77368417521046,4.90728169957252,1.88830842645201
1940,6.20802858252017,6.65111563554227,6.74069448670403,6.98829995706433,3.73328665051548
1941,4.68035964418764,5.170418905477,5.12597689475507,5.41820001708318,2.28087295571419
1942,3.89332151723235,4.3417965641577,4.27479576884884,4.42673106226203,1.57001732212223
1943,5.29002466136462,5.69169076681137,5.74022412651206,6.0764281606021,2.97679236294472
1944,4.19603078433725,4.68911541192258,4.53078636559632,4.7105053675875,1.92350055871765
1945,4.34981466678724,4.69193570809822,4.78039435262549,5.07280263247555,1.96168867790536
1946,4.84056962822398,5.40055435530535,5.1325392876739,5.45816742606359,2.66621080359367
1947,4.70189705614562,5.18742977011285,5.14735132112895,5.5275012253082,2.30150820465937
1948,4.18707533612277,4.57732940501854,4.54665911783938,4.77921245267482,2.03344586019308
1949,3.48482175232613,3.6784607439825,3.92424993710975,4.59952573188364,1.49783194163074
1950,4.06302975955075,4.34362255710445,4.41712877423796,5.10645588456768,1.97438902103738
1951,5.07713519939005,5.38885234855626,5.49440116457743,6.0565081811931,3.13343739019681
1952,3.79303292759129,4.53491977068896,4.28624378918299,4.5996345861362,1.97913919055397
1953,5.0779445688202,5.1746511728388,5.72397810820847,6.20817202982837,2.83889656981377
1954,5.50283853909741,5.66787547803905,5.93757721691915,6.33705872640218,3.36427767309424
1955,3.81919555141501,4.10321322401909,3.93336988671185,4.19181676694792,1.8673558870407
1956,4.85591462857085,5.24729152292502,5.09472741455328,5.54113796825617,2.74046265427532
1957,4.29361006094985,4.82244962037426,4.42355114747196,4.80686989598078,2.27968360887815
1958,4.55703543244976,4.79358991400836,4.72385585667336,5.08266816008581,2.57796187204857
1959,5.31178959134507,5.45241425380315,5.66978417716614,6.13055242757275,3.07307698106113
1960,4.88744016244112,5.0022265515163,5.17532514214841,5.3329517336491,2.69684959500214
1961,5.25928840898488,5.5304250259922,5.55160785374576,5.76247859703351,3.10481689343714
1962,4.07070140838623,4.36866271463159,4.33223835278864,4.63568992092185,1.9293853518081
1963,5.37153183891349,5.44655587771167,5.70232283897596,5.80706946065981,3.1874801952545
1964,3.72750494447715,3.84423986956721,4.00885898035651,3.90493322562813,1.64838688262825
1965,3.85344556129142,4.02339999055209,4.18294781397467,4.55381027901009,1.51608686904385
1966,5.06892784866568,5.39540327615424,5.03087125314425,5.45947113902601,2.97420323384951
1967,4.67929722715731,4.77893350744901,4.88988796431724,5.33690429142077,2.46375130104692
1968,4.19145087072183,4.49312322037142,4.5655215133409,4.85713686692259,2.07488890032951
1969,4.59940545003708,4.77685413229955,4.90184833578867,5.33798257422774,2.36177277565002
1970,4.27775407474335,4.3296179240697,4.77939606742704,4.94590940197853,1.89735386665553
1971,4.10047027378866,4.31988108305082,4.44549436111973,4.70471880231818,1.76743497795438
