agency_cd,site_no,Date,waterYear,X_00060_00003,X_00060_00003_cd
USGS,10104700,10/01/60,1961,15,A
USGS,10104700,10/02/60,1961,15,A
USGS,10104700,10/03/60,1961,16,A
USGS,10104700,10/04/60,1961,16,A
USGS,10104700,10/05/60,1961,16,A
USGS,10104700,10/06/60,1961,15,A
USGS,10104700,10/07/60,1961,14,A
USGS,10104700,10/08/60,1961,17,A
USGS,10104700,10/09/60,1961,18,A
USGS,10104700,10/10/60,1961,19,A
USGS,10104700,10/11/60,1961,18,A
USGS,10104700,10/12/60,1961,18,A
USGS,10104700,10/13/60,1961,19,A
USGS,10104700,10/14/60,1961,18,A
USGS,10104700,10/15/60,1961,17,A
USGS,10104700,10/16/60,1961,17,A
USGS,10104700,10/17/60,1961,17,A
USGS,10104700,10/18/60,1961,17,A
USGS,10104700,10/19/60,1961,16,A
USGS,10104700,10/20/60,1961,16,A
USGS,10104700,10/21/60,1961,16,A
USGS,10104700,10/22/60,1961,16,A
USGS,10104700,10/23/60,1961,17,A
USGS,10104700,10/24/60,1961,16,A
USGS,10104700,10/25/60,1961,17,A
USGS,10104700,10/26/60,1961,17,A
USGS,10104700,10/27/60,1961,17,A
USGS,10104700,10/28/60,1961,17,A
USGS,10104700,10/29/60,1961,17,A
USGS,10104700,10/30/60,1961,17,A
USGS,10104700,10/31/60,1961,17,A
USGS,10104700,11/01/60,1961,17,A
USGS,10104700,11/02/60,1961,16,A
USGS,10104700,11/03/60,1961,17,A
USGS,10104700,11/04/60,1961,18,A
USGS,10104700,11/05/60,1961,17,A
USGS,10104700,11/06/60,1961,18,A
USGS,10104700,11/07/60,1961,23,A
USGS,10104700,11/08/60,1961,21,A
USGS,10104700,11/09/60,1961,19,A
USGS,10104700,11/10/60,1961,18,A
USGS,10104700,11/11/60,1961,19,A
USGS,10104700,11/12/60,1961,19,A
USGS,10104700,11/13/60,1961,21,A
USGS,10104700,11/14/60,1961,21,A
USGS,10104700,11/15/60,1961,19,A
USGS,10104700,11/16/60,1961,19,A
USGS,10104700,11/17/60,1961,19,A
USGS,10104700,11/18/60,1961,19,A
USGS,10104700,11/19/60,1961,19,A
USGS,10104700,11/20/60,1961,18,A
USGS,10104700,11/21/60,1961,19,A
USGS,10104700,11/22/60,1961,18,A
USGS,10104700,11/23/60,1961,19,A
USGS,10104700,11/24/60,1961,19,A
USGS,10104700,11/25/60,1961,19,A
USGS,10104700,11/26/60,1961,19,A
USGS,10104700,11/27/60,1961,21,A
USGS,10104700,11/28/60,1961,18,A
USGS,10104700,11/29/60,1961,17,A
USGS,10104700,11/30/60,1961,20,A
USGS,10104700,12/01/60,1961,19,A
USGS,10104700,12/02/60,1961,19,A
USGS,10104700,12/03/60,1961,20,A
USGS,10104700,12/04/60,1961,19,A
USGS,10104700,12/05/60,1961,16,A
USGS,10104700,12/06/60,1961,14,A
USGS,10104700,12/07/60,1961,15,A
USGS,10104700,12/08/60,1961,17,A
USGS,10104700,12/09/60,1961,18,A
USGS,10104700,12/10/60,1961,17,A
USGS,10104700,12/11/60,1961,16,A
USGS,10104700,12/12/60,1961,16,A
USGS,10104700,12/13/60,1961,16,A
USGS,10104700,12/14/60,1961,16,A
USGS,10104700,12/15/60,1961,16,A
USGS,10104700,12/16/60,1961,16,A
USGS,10104700,12/17/60,1961,16,A
USGS,10104700,12/18/60,1961,16,A
USGS,10104700,12/19/60,1961,16,A
USGS,10104700,12/20/60,1961,16,A
USGS,10104700,12/21/60,1961,15,A
USGS,10104700,12/22/60,1961,15,A
USGS,10104700,12/23/60,1961,15,A
USGS,10104700,12/24/60,1961,15,A
USGS,10104700,12/25/60,1961,15,A
USGS,10104700,12/26/60,1961,15,A
USGS,10104700,12/27/60,1961,15,A
USGS,10104700,12/28/60,1961,15,A
USGS,10104700,12/29/60,1961,15,A
USGS,10104700,12/30/60,1961,15,A
USGS,10104700,12/31/60,1961,14,A
USGS,10104700,01/01/61,1961,14,A
USGS,10104700,01/02/61,1961,14,A
USGS,10104700,01/03/61,1961,14,A
