Water_Year,January_Mean_Streamflow_cfs,January_Mean_Streamflow_mm_day
1961,14.838709677419354,0.22549083369113362
1962,15.451612903225806,0.23480458551750655
1963,21.741935483870964,0.33039309110396536
1964,17.451612903225808,0.26519682831935504
1965,33.38709677419355,0.5073543758050507
1966,24.483870967741936,0.37205987559037057
1967,25.096774193548388,0.38137362741674347
1968,24.70967741935484,0.37549125784219206
1969,67.7741935483871,1.0299048730110258
1970,33.903225806451616,0.5151975352377859
1971,57.93548387096774,0.880394646324513
1972,41.483870967741936,0.6303939394060823
1973,29.741935483870968,0.45196206231135916
1974,32.83870967741935,0.4990210189077697
1975,26,0.3950991564240299
1976,27.64516129032258,0.4200992271158729
1977,21.548387096774192,0.3274519063166897
1978,20.70967741935484,0.31470677223849525
1979,22.580645161290324,0.3431382251821599
1980,55.90322580645163,0.849512206058119
1981,25.580645161290324,0.38872658938493254
1982,25.548387096774192,0.3882363919203866
1983,35.16129032258065,0.5343152363550776
1984,50.483870967741936,0.7671590320144004
1985,39.78064516129032,0.6045115132780565
1986,43.39354838709677,0.6594136293072022
1987,36.29032258064516,0.5514721476141855
1988,22.258064516129032,0.3382362505367004
1989,19.032258064516128,0.28921650408210614
1990,21.35483870967742,0.324510721529414
1991,14.129032258064516,0.2147064894711229
1992,18.612903225806452,0.282843937043009
