Water_Year,Water_Year_Streamflow_cfs,Water_Year_Streamflow_mm_day
1961,8650,131.44645011799454
1962,21040,319.7263942754456
1963,13849,210.45108528139954
1964,16722,254.10954206625485
1965,20642,313.67833795787783
1966,16908,256.9360206468268
1967,23418,355.86277096684347
1968,18413,279.8061833552178
1969,25225,383.32216233831355
1970,17910,272.16253429055286
1971,28487,432.89191034812836
1972,26678,405.40212673385645
1973,25150,382.18245323324425
1974,27061,411.2222412304104
1975,25550,388.2609017936139
1976,20613,313.237650437251
1977,9166,139.28764876087143
1978,21789,331.10828920473796
1979,16828,255.72033093475284
1980,25242,383.5804964021293
1981,12491,189.8147524189445
1982,27956,424.82276988423763
1983,36606.8,556.281376899353
1984,38740.9,588.7114195810653
1985,26784.5,407.0205136630549
1986,43406.2,659.6058847527969
1987,17246,262.0723096803392
1988,11108,168.79851652146627
1989,15874,241.22323111827112
1990,10043,152.61464722948202
1991,12435.3,188.96832845691296
1992,8189.4000000000005,124.44711660072885
