Water_Year,January_Mean_Streamflow_cfs,January_Mean_Streamflow_mm_day
1931,21.93548387096774,0.4160218482053474
1932,16.870967741935484,0.3199697450167598
1933,20.903225806451612,0.3964443494662722
1934,16.64516129032258,0.3156871671675871
1935,14.993548387096775,0.2843631691850669
1936,12.912903225806451,0.2449022732891184
1937,13.148387096774194,0.24936839018896997
1938,17.193548387096776,0.32608771337272086
1939,17.677419354838708,0.33526466590666226
1940,15.419354838709678,0.29243888741493534
1941,15.451612903225806,0.2930506842505314
1942,25.774193548387096,0.4888256716412831
1943,20.387096774193548,0.38665560009673466
1944,20.451612903225808,0.38787919376792684
1945,21.096774193548388,0.40011513047984876
1946,25,0.47414254758697677
1947,23.806451612903224,0.451506064669921
1948,27.225806451612904,0.5163565292431076
1949,23.612903225806452,0.4478352836563445
1950,23.06451612903226,0.43743473745121086
1951,25.06451612903226,0.47536614125816895
1952,23.548387096774192,0.44661168998515227
1953,25.70967741935484,0.487602077970091
1954,23.419354838709676,0.44416450264276797
1955,19.096774193548388,0.36218372667289067
1956,28.387096774193548,0.5383812153245672
1957,20.870967741935484,0.39583255263067607
1958,23.677419354838708,0.44905887732753674
1959,20.032258064516128,0.37992583490517745
1960,19.032258064516128,0.3609601330016984
1961,16.516129032258064,0.31323997982520274
1962,15.870967741935484,0.3010040431132807
1963,16.677419354838708,0.3162989640031832
1964,15.838709677419354,0.3003922462776846
1965,30.258064516129032,0.573865431789141
1966,24.35483870967742,0.4619066108750548
1967,20.451612903225808,0.38787919376792684
1968,18.870967741935484,0.35790114882371793
1969,28.32258064516129,0.5371576216533749
1970,25.580645161290324,0.4851548906277065
1971,35.806451612903224,0.6790944875116698
1972,27.967741935483872,0.5304278564618179
1973,25.838709677419356,0.49004926531247534
1974,30.225806451612904,0.5732536349535449
1975,25.483870967741936,0.4833195001209183
1976,26.806451612903224,0.5084031703803583
1977,19.032258064516128,0.3609601330016984
1978,17.838709677419356,0.33832365008464277
1979,23.93548387096774,0.45395325201230546
1980,21.870967741935484,0.4147982545341551
1981,21.70967741935484,0.4117392703561747
1982,29.612903225806452,0.5616294950772189
1983,44.903225806451616,0.85162119514977
1984,38.354838709677416,0.7274264375237617
1985,36.58064516129032,0.6937776115659763
1986,32.74193548387097,0.6209737881300404
1987,27.580645161290324,0.5230862944346647
1988,20.677419354838708,0.3921617716170995
1989,17.096774193548388,0.32425232286593253
1990,19,0.36034833616610235
