Water_Year,Water_Year_Streamflow_cfs,Water_Year_Streamflow_mm_day
1931,15246,289.1510912204419
1932,25206,478.04948217909345
1933,23610,447.7802219411409
1934,10187.4,193.21119157150267
1935,19975.8,378.8550680835172
1936,23349.2,442.83396688471356
1937,19772.6,375.0012374567303
1938,24912,472.4735658194706
1939,18081,342.91885611680505
1940,16019,303.81157879183127
1941,23893,453.1475155798255
1942,27425,520.1343747029135
1943,22350,423.8834375427572
1944,25022,474.55979302885333
1945,23752,450.4733516114348
1946,24447,463.6545144343528
1947,27276,517.3084851192951
1948,27643,524.268897717872
1949,25717,487.7409558517713
1950,25683,487.096121987053
1951,26521,502.9893801821684
1952,34989,663.5909439008293
1953,27244,516.7015826583837
1954,17474,331.4066750613933
1955,20835,395.1503991589864
1956,22081,418.7816637307214
1957,29567,560.7589081801656
1958,30152,571.853843793701
1959,19985,379.0295525410292
1960,21138,400.8970068357405
1961,12270,232.7091623556882
1962,25789.7,489.1197623801542
1963,20199,383.08821274837373
1964,26520,502.97041448026494
1965,31902,605.0438221247892
1966,21591,409.4884697980166
1967,28006,531.1534475088349
1968,26876,509.7222043579035
1969,29759,564.4003229456337
1970,27423,520.0964432991066
1971,30963,587.2350280374226
1972,30223,573.2004086288479
1973,27825,527.7206554643051
1974,30931,586.6281255765111
1975,33354,632.5820212886409
1976,23607,447.7233248354305
1977,14423,273.54231855387866
1978,29018,550.3467378351556
1979,22330.9,423.5211926364008
1980,25501,483.6443642406197
1981,19047,361.23972415556585
1982,36253,687.5635911068267
1983,48173,913.6347577962973
1984,38922,738.1830494872123
1985,33961,644.0942023440526
1986,41240,782.1455464994768
1987,20844,395.3210904761178
1988,14820,281.0717022095598
1989,18138,343.99990112530344
1990,NA,NA
