agency_cd,site_no,Date,waterYear,X_00060_00003,X_00060_00003_cd
USGS,10167500,10/01/63,1964,21,A
USGS,10167500,10/02/63,1964,21,A
USGS,10167500,10/03/63,1964,20,A
USGS,10167500,10/04/63,1964,21,A
USGS,10167500,10/05/63,1964,22,A
USGS,10167500,10/06/63,1964,16,A
USGS,10167500,10/07/63,1964,22,A
USGS,10167500,10/08/63,1964,20,A
USGS,10167500,10/09/63,1964,18,A
USGS,10167500,10/10/63,1964,19,A
USGS,10167500,10/11/63,1964,19,A
USGS,10167500,10/12/63,1964,18,A
USGS,10167500,10/13/63,1964,20,A
USGS,10167500,10/14/63,1964,20,A
USGS,10167500,10/15/63,1964,20,A
USGS,10167500,10/16/63,1964,21,A
USGS,10167500,10/17/63,1964,20,A
USGS,10167500,10/18/63,1964,20,A
USGS,10167500,10/19/63,1964,20,A
USGS,10167500,10/20/63,1964,20,A
USGS,10167500,10/21/63,1964,20,A
USGS,10167500,10/22/63,1964,19,A
USGS,10167500,10/23/63,1964,20,A
USGS,10167500,10/24/63,1964,20,A
USGS,10167500,10/25/63,1964,19,A
USGS,10167500,10/26/63,1964,20,A
USGS,10167500,10/27/63,1964,20,A
USGS,10167500,10/28/63,1964,18,A
USGS,10167500,10/29/63,1964,18,A
USGS,10167500,10/30/63,1964,18,A
USGS,10167500,10/31/63,1964,18,A
USGS,10167500,11/01/63,1964,17,A
USGS,10167500,11/02/63,1964,18,A
USGS,10167500,11/03/63,1964,18,A
USGS,10167500,11/04/63,1964,18,A
USGS,10167500,11/05/63,1964,17,A
USGS,10167500,11/06/63,1964,18,A
USGS,10167500,11/07/63,1964,18,A
USGS,10167500,11/08/63,1964,19,A
USGS,10167500,11/09/63,1964,20,A
USGS,10167500,11/10/63,1964,19,A
USGS,10167500,11/11/63,1964,20,A
USGS,10167500,11/12/63,1964,19,A
USGS,10167500,11/13/63,1964,18,A
USGS,10167500,11/14/63,1964,18,A
USGS,10167500,11/15/63,1964,19,A
USGS,10167500,11/16/63,1964,20,A
USGS,10167500,11/17/63,1964,20,A
USGS,10167500,11/18/63,1964,20,A
USGS,10167500,11/19/63,1964,18,A
USGS,10167500,11/20/63,1964,19,A
USGS,10167500,11/21/63,1964,17,A
USGS,10167500,11/22/63,1964,16,A
USGS,10167500,11/23/63,1964,18,A
USGS,10167500,11/24/63,1964,18,A
USGS,10167500,11/25/63,1964,18,A
USGS,10167500,11/26/63,1964,17,A
USGS,10167500,11/27/63,1964,18,A
USGS,10167500,11/28/63,1964,16,A
USGS,10167500,11/29/63,1964,16,A
USGS,10167500,11/30/63,1964,17,A
USGS,10167500,12/01/63,1964,17,A
USGS,10167500,12/02/63,1964,15,A
USGS,10167500,12/03/63,1964,15,A
USGS,10167500,12/04/63,1964,15,A
USGS,10167500,12/05/63,1964,14,A
USGS,10167500,12/06/63,1964,15,A
USGS,10167500,12/07/63,1964,15,A
USGS,10167500,12/08/63,1964,16,A
USGS,10167500,12/09/63,1964,16,A
USGS,10167500,12/10/63,1964,16,A
USGS,10167500,12/11/63,1964,14,A
USGS,10167500,12/12/63,1964,15,A
USGS,10167500,12/13/63,1964,16,A
USGS,10167500,12/14/63,1964,16,A
USGS,10167500,12/15/63,1964,15,A
USGS,10167500,12/16/63,1964,15,A
USGS,10167500,12/17/63,1964,15,A
USGS,10167500,12/18/63,1964,15,A
USGS,10167500,12/19/63,1964,15,A
USGS,10167500,12/20/63,1964,15,A
USGS,10167500,12/21/63,1964,15,A
USGS,10167500,12/22/63,1964,15,A
USGS,10167500,12/23/63,1964,14,A
USGS,10167500,12/24/63,1964,15,A
USGS,10167500,12/25/63,1964,15,A
USGS,10167500,12/26/63,1964,14,A
USGS,10167500,12/27/63,1964,15,A
USGS,10167500,12/28/63,1964,15,A
USGS,10167500,12/29/63,1964,15,A
USGS,10167500,12/30/63,1964,13,A
USGS,10167500,12/31/63,1964,15,A
USGS,10167500,01/01/64,1964,14,A
USGS,10167500,01/02/64,1964,15,A
USGS,10167500,01/03/64,1964,13,A
USGS,10167500,01/04/64,1964,13,A
USGS,10167500,01/05/64,1964,14,A
USGS,10167500,01/06/64,1964,14,A
USGS,10167500,01/07/64,1964,14,A
USGS,10167500,01/08/64,1964,14,A
USGS,10167500,01/09/64,1964,14,A
USGS,10167500,01/10/64,1964,14,A
USGS,10167500,01/11/64,1964,13,A
USGS,10167500,01/12/64,1964,13,A
USGS,10167500,01/13/64,1964,13,A
USGS,10167500,01/14/64,1964,14,A
USGS,10167500,01/15/64,1964,14,A
USGS,10167500,01/16/64,1964,14,A
USGS,10167500,01/17/64,1964,14,A
USGS,10167500,01/18/64,1964,13,A
USGS,10167500,01/19/64,1964,13,A
USGS,10167500,01/20/64,1964,12,A
USGS,10167500,01/21/64,1964,14,A
USGS,10167500,01/22/64,1964,14,A
