agency_cd,site_no,Date,waterYear,X_00060_00003,X_00060_00003_cd
USGS,10170000,10/01/63,1964,6,A
USGS,10170000,10/02/63,1964,5.7,A
USGS,10170000,10/03/63,1964,5.7,A
USGS,10170000,10/04/63,1964,5.5,A
USGS,10170000,10/05/63,1964,5.3,A
USGS,10170000,10/06/63,1964,5.3,A
USGS,10170000,10/07/63,1964,5.2,A
USGS,10170000,10/08/63,1964,5.3,A
USGS,10170000,10/09/63,1964,4.9,A
USGS,10170000,10/10/63,1964,4.9,A
USGS,10170000,10/11/63,1964,4.9,A
USGS,10170000,10/12/63,1964,4.8,A
USGS,10170000,10/13/63,1964,5.3,A
USGS,10170000,10/14/63,1964,4.8,A
USGS,10170000,10/15/63,1964,4.5,A
USGS,10170000,10/16/63,1964,4.4,A
USGS,10170000,10/17/63,1964,4.4,A
USGS,10170000,10/18/63,1964,4.3,A
USGS,10170000,10/19/63,1964,4.1,A
USGS,10170000,10/20/63,1964,4.1,A
USGS,10170000,10/21/63,1964,4.3,A
USGS,10170000,10/22/63,1964,4.3,A
USGS,10170000,10/23/63,1964,4.4,A
USGS,10170000,10/24/63,1964,4.7,A
USGS,10170000,10/25/63,1964,4.4,A
USGS,10170000,10/26/63,1964,4.4,A
USGS,10170000,10/27/63,1964,4.4,A
USGS,10170000,10/28/63,1964,4.7,A
USGS,10170000,10/29/63,1964,4.5,A
USGS,10170000,10/30/63,1964,4.8,A
USGS,10170000,10/31/63,1964,4.8,A
USGS,10170000,11/01/63,1964,4.8,A
USGS,10170000,11/02/63,1964,4.8,A
USGS,10170000,11/03/63,1964,4.8,A
USGS,10170000,11/04/63,1964,5,A
USGS,10170000,11/05/63,1964,5,A
USGS,10170000,11/06/63,1964,4.8,A
USGS,10170000,11/07/63,1964,5.1,A
USGS,10170000,11/08/63,1964,5.1,A
USGS,10170000,11/09/63,1964,5,A
USGS,10170000,11/10/63,1964,5,A
USGS,10170000,11/11/63,1964,5,A
USGS,10170000,11/12/63,1964,4.8,A
USGS,10170000,11/13/63,1964,4.8,A
USGS,10170000,11/14/63,1964,4.8,A
USGS,10170000,11/15/63,1964,4.8,A
USGS,10170000,11/16/63,1964,5,A
USGS,10170000,11/17/63,1964,4.8,A
USGS,10170000,11/18/63,1964,4.4,A
USGS,10170000,11/19/63,1964,4.6,A
USGS,10170000,11/20/63,1964,4.9,A
USGS,10170000,11/21/63,1964,5,A
USGS,10170000,11/22/63,1964,4.1,A
USGS,10170000,11/23/63,1964,3.8,A
USGS,10170000,11/24/63,1964,3.8,A
USGS,10170000,11/25/63,1964,3.6,A
USGS,10170000,11/26/63,1964,3.6,A
USGS,10170000,11/27/63,1964,3.6,A
USGS,10170000,11/28/63,1964,3.6,A
USGS,10170000,11/29/63,1964,3.4,A
