agency_cd,site_no,Date,waterYear,X_00060_00003,X_00060_00003_cd
USGS,10171500,10/01/09,1910,5,A
USGS,10171500,10/02/09,1910,5,A
USGS,10171500,10/03/09,1910,5,A
USGS,10171500,10/04/09,1910,5,A
USGS,10171500,10/05/09,1910,6,A
USGS,10171500,10/06/09,1910,6,A
USGS,10171500,10/07/09,1910,6,A
USGS,10171500,10/08/09,1910,6,A
USGS,10171500,10/09/09,1910,6,A
USGS,10171500,10/10/09,1910,6,A
USGS,10171500,10/11/09,1910,6,A
USGS,10171500,10/12/09,1910,6,A
USGS,10171500,10/13/09,1910,6,A
USGS,10171500,10/14/09,1910,6,A
USGS,10171500,10/15/09,1910,6,A
USGS,10171500,10/16/09,1910,6,A
USGS,10171500,10/17/09,1910,7,A
USGS,10171500,10/18/09,1910,7,A
USGS,10171500,10/19/09,1910,7,A
USGS,10171500,10/20/09,1910,7,A
USGS,10171500,10/21/09,1910,7,A
USGS,10171500,10/22/09,1910,7,A
USGS,10171500,10/23/09,1910,7,A
USGS,10171500,10/24/09,1910,7,A
USGS,10171500,10/25/09,1910,7,A
USGS,10171500,10/26/09,1910,7,A
USGS,10171500,10/27/09,1910,7,A
USGS,10171500,10/28/09,1910,7,A
USGS,10171500,10/29/09,1910,7,A
USGS,10171500,10/30/09,1910,7,A
USGS,10171500,10/31/09,1910,7,A
USGS,10171500,11/01/09,1910,7,A
USGS,10171500,11/02/09,1910,7,A
USGS,10171500,11/03/09,1910,7,A
USGS,10171500,11/04/09,1910,7,A
USGS,10171500,11/05/09,1910,7,A
USGS,10171500,11/06/09,1910,7,A
USGS,10171500,11/07/09,1910,7,A
USGS,10171500,11/08/09,1910,7,A
USGS,10171500,11/09/09,1910,7,A
USGS,10171500,11/10/09,1910,7,A
USGS,10171500,11/11/09,1910,7,A
USGS,10171500,11/12/09,1910,8,A
USGS,10171500,11/13/09,1910,8,A
USGS,10171500,11/14/09,1910,6,A
USGS,10171500,11/15/09,1910,7,A
USGS,10171500,11/16/09,1910,7,A
USGS,10171500,11/17/09,1910,7,A
USGS,10171500,11/18/09,1910,8,A
USGS,10171500,11/19/09,1910,8,A
USGS,10171500,11/20/09,1910,8,A
USGS,10171500,11/21/09,1910,8,A
USGS,10171500,11/22/09,1910,8,A
USGS,10171500,11/23/09,1910,5,A
USGS,10171500,11/24/09,1910,7,A
USGS,10171500,11/25/09,1910,8,A
USGS,10171500,11/26/09,1910,8,A
USGS,10171500,11/27/09,1910,8,A
USGS,10171500,11/28/09,1910,10,A
USGS,10171500,11/29/09,1910,10,A
USGS,10171500,11/30/09,1910,10,A
USGS,10171500,12/01/09,1910,10,A
USGS,10171500,12/02/09,1910,10,A
USGS,10171500,12/03/09,1910,9,A
USGS,10171500,12/04/09,1910,8,A
USGS,10171500,12/05/09,1910,8,A
USGS,10171500,12/06/09,1910,10,A
USGS,10171500,12/07/09,1910,7,A
USGS,10171500,12/08/09,1910,9,A
USGS,10171500,12/09/09,1910,8,A
USGS,10171500,12/10/09,1910,8,A
USGS,10171500,12/11/09,1910,8,A
USGS,10171500,12/12/09,1910,8,A
USGS,10171500,12/13/09,1910,8,A
USGS,10171500,12/14/09,1910,8,A
USGS,10171500,12/15/09,1910,8,A
USGS,10171500,12/16/09,1910,8,A
USGS,10171500,12/17/09,1910,8,A
USGS,10171500,12/18/09,1910,8,A
USGS,10171500,12/19/09,1910,8,A
USGS,10171500,12/20/09,1910,8,A
USGS,10171500,12/21/09,1910,8,A
USGS,10171500,12/22/09,1910,8,A
USGS,10171500,12/23/09,1910,8,A
USGS,10171500,12/24/09,1910,8,A
USGS,10171500,12/25/09,1910,8,A
USGS,10171500,12/26/09,1910,8,A
USGS,10171500,12/27/09,1910,8,A
USGS,10171500,12/28/09,1910,8,A
USGS,10171500,12/29/09,1910,8,A
USGS,10171500,12/30/09,1910,8,A
USGS,10171500,12/31/09,1910,8,A
USGS,10171500,01/01/10,1910,6,A
USGS,10171500,01/02/10,1910,6,A
USGS,10171500,01/03/10,1910,6,A
USGS,10171500,01/04/10,1910,6,A
USGS,10171500,01/05/10,1910,6,A
USGS,10171500,01/06/10,1910,6,A
USGS,10171500,01/07/10,1910,6,A
USGS,10171500,01/08/10,1910,6,A
USGS,10171500,01/09/10,1910,6,A
USGS,10171500,01/10/10,1910,6,A
USGS,10171500,01/11/10,1910,6,A
USGS,10171500,01/12/10,1910,6,A
USGS,10171500,01/13/10,1910,6,A
USGS,10171500,01/14/10,1910,6,A
USGS,10171500,01/15/10,1910,6,A
USGS,10171500,01/16/10,1910,6,A
USGS,10171500,01/17/10,1910,6,A
USGS,10171500,01/18/10,1910,6,A
USGS,10171500,01/19/10,1910,6,A
USGS,10171500,01/20/10,1910,6,A
USGS,10171500,01/21/10,1910,8,A
USGS,10171500,01/22/10,1910,8,A
USGS,10171500,01/23/10,1910,8,A
USGS,10171500,01/24/10,1910,8,A
USGS,10171500,01/25/10,1910,8,A
USGS,10171500,01/26/10,1910,8,A
USGS,10171500,01/27/10,1910,8,A
USGS,10171500,01/28/10,1910,8,A
USGS,10171500,01/29/10,1910,8,A
USGS,10171500,01/30/10,1910,8,A
USGS,10171500,01/31/10,1910,8,A
USGS,10171500,02/01/10,1910,6,A
USGS,10171500,02/02/10,1910,6,A
USGS,10171500,02/03/10,1910,6,A
USGS,10171500,02/04/10,1910,6,A
USGS,10171500,02/05/10,1910,6,A
USGS,10171500,02/06/10,1910,6,A
USGS,10171500,02/07/10,1910,6,A
USGS,10171500,02/08/10,1910,6,A
USGS,10171500,02/09/10,1910,6,A
USGS,10171500,02/10/10,1910,6,A
USGS,10171500,02/11/10,1910,6,A
USGS,10171500,02/12/10,1910,6,A
USGS,10171500,02/13/10,1910,6,A
USGS,10171500,02/14/10,1910,6,A
USGS,10171500,02/15/10,1910,6,A
USGS,10171500,02/16/10,1910,10,A
USGS,10171500,02/17/10,1910,10,A
USGS,10171500,02/18/10,1910,10,A
USGS,10171500,02/19/10,1910,10,A
USGS,10171500,02/20/10,1910,10,A
USGS,10171500,02/21/10,1910,10,A
USGS,10171500,02/22/10,1910,10,A
USGS,10171500,02/23/10,1910,10,A
USGS,10171500,02/24/10,1910,10,A
USGS,10171500,02/25/10,1910,10,A
USGS,10171500,02/26/10,1910,10,A
USGS,10171500,02/27/10,1910,10,A
USGS,10171500,02/28/10,1910,10,A
USGS,10171500,03/01/10,1910,8,A
USGS,10171500,03/02/10,1910,8,A
USGS,10171500,03/03/10,1910,8,A
USGS,10171500,03/04/10,1910,8,A
USGS,10171500,03/05/10,1910,8,A
USGS,10171500,03/06/10,1910,8,A
USGS,10171500,03/07/10,1910,8,A
USGS,10171500,03/08/10,1910,8,A
USGS,10171500,03/09/10,1910,15,A
USGS,10171500,03/10/10,1910,12,A
USGS,10171500,03/11/10,1910,10,A
USGS,10171500,03/12/10,1910,10,A
USGS,10171500,03/13/10,1910,10,A
USGS,10171500,03/14/10,1910,12,A
USGS,10171500,03/15/10,1910,12,A
USGS,10171500,03/16/10,1910,11,A
USGS,10171500,03/17/10,1910,10,A
USGS,10171500,03/18/10,1910,10,A
USGS,10171500,03/19/10,1910,9,A
USGS,10171500,03/20/10,1910,9,A
USGS,10171500,03/21/10,1910,10,A
USGS,10171500,03/22/10,1910,11,A
USGS,10171500,03/23/10,1910,10,A
USGS,10171500,03/24/10,1910,10,A
USGS,10171500,03/25/10,1910,14,A
USGS,10171500,03/26/10,1910,17,A
USGS,10171500,03/27/10,1910,21,A
USGS,10171500,03/28/10,1910,37,A
USGS,10171500,03/29/10,1910,63,A
USGS,10171500,03/30/10,1910,65,A
USGS,10171500,03/31/10,1910,43,A
USGS,10171500,04/01/10,1910,38,A
USGS,10171500,04/02/10,1910,62,A
USGS,10171500,04/03/10,1910,97,A
USGS,10171500,04/04/10,1910,114,A
USGS,10171500,04/05/10,1910,123,A
USGS,10171500,04/06/10,1910,117,A
USGS,10171500,04/07/10,1910,130,A
USGS,10171500,04/08/10,1910,119,A
USGS,10171500,04/09/10,1910,131,A
USGS,10171500,04/10/10,1910,108,A
USGS,10171500,04/11/10,1910,89,A
USGS,10171500,04/12/10,1910,72,A
USGS,10171500,04/13/10,1910,82,A
USGS,10171500,04/14/10,1910,121,A
USGS,10171500,04/15/10,1910,176,A
USGS,10171500,04/16/10,1910,202,A
USGS,10171500,04/17/10,1910,225,A
USGS,10171500,04/18/10,1910,237,A
USGS,10171500,04/19/10,1910,240,A
USGS,10171500,04/20/10,1910,255,A
USGS,10171500,04/21/10,1910,243,A
USGS,10171500,04/22/10,1910,230,A
USGS,10171500,04/23/10,1910,242,A
USGS,10171500,04/24/10,1910,263,A
USGS,10171500,04/25/10,1910,246,A
USGS,10171500,04/26/10,1910,239,A
USGS,10171500,04/27/10,1910,197,A
USGS,10171500,04/28/10,1910,204,A
USGS,10171500,04/29/10,1910,206,A
USGS,10171500,04/30/10,1910,201,A
USGS,10171500,05/01/10,1910,239,A
USGS,10171500,05/02/10,1910,251,A
USGS,10171500,05/03/10,1910,236,A
USGS,10171500,05/04/10,1910,236,A
USGS,10171500,05/05/10,1910,208,A
USGS,10171500,05/06/10,1910,183,A
USGS,10171500,05/07/10,1910,155,A
USGS,10171500,05/08/10,1910,139,A
USGS,10171500,05/09/10,1910,123,A
USGS,10171500,05/10/10,1910,113,A
USGS,10171500,05/11/10,1910,108,A
USGS,10171500,05/12/10,1910,106,A
USGS,10171500,05/13/10,1910,101,A
USGS,10171500,05/14/10,1910,99,A
USGS,10171500,05/15/10,1910,95,A
USGS,10171500,05/16/10,1910,89,A
USGS,10171500,05/17/10,1910,81,A
USGS,10171500,05/18/10,1910,75,A
USGS,10171500,05/19/10,1910,69,A
USGS,10171500,05/20/10,1910,66,A
USGS,10171500,05/21/10,1910,66,A
USGS,10171500,05/22/10,1910,66,A
USGS,10171500,05/23/10,1910,69,A
USGS,10171500,05/24/10,1910,69,A
USGS,10171500,05/25/10,1910,67,A
USGS,10171500,05/26/10,1910,64,A
USGS,10171500,05/27/10,1910,62,A
USGS,10171500,05/28/10,1910,61,A
USGS,10171500,05/29/10,1910,58,A
USGS,10171500,05/30/10,1910,57,A
USGS,10171500,05/31/10,1910,58,A
USGS,10171500,06/01/10,1910,75,A
USGS,10171500,06/02/10,1910,76,A
USGS,10171500,06/03/10,1910,69,A
USGS,10171500,06/04/10,1910,67,A
USGS,10171500,06/05/10,1910,68,A
USGS,10171500,06/06/10,1910,68,A
USGS,10171500,06/07/10,1910,65,A
