,SLCC,SLRB,SLEC,SLPC,SLMC,SLBC,SLLC,WRECJ,WRCC,WRLC,WROSF,WRWO
areakm2,46,19,41,135,56,127,71,149,643,325,356,420
elevm,2084,2076,1963,2102,2344,2607,2698,2234,2298,2230,2200,2759
tMean,6.72,6.84,6.90,6.61,5.24,4.25,3.32,5.29,4.78,5.02,5.25,2.58
tSD,0.80,0.79,0.78,0.78,0.84,0.84,0.88,0.86,0.85,0.82,0.86,0.88
tChangepost85,0.02,0.02,0.01,0.01,0.03,0.04,0.04,0.04,0.05,0.04,0.06,0.06
pMean,853.0,806.0,798.0,787.0,928.0,1048.0,1299.0,678.0,558.0,627.0,804.0,946.0
pSD,176.0,168.0,166.0,161.0,189.0,219.0,276.0,142.0,108.0,128.0,170.0,182.0
qMean,322.0,183.0,147.0,178.0,242.0,507.0,814.0,205.0,94.0,88.0,283.0,458.0
qSD,113.0,106.0,105.0,98.0,88.0,147.0,217.0,105.0,53.0,47.0,116.0,143.0
wyMean,0.375,0.213,0.177,0.217,0.259,0.486,0.632,0.287,0.163,0.140,0.345,0.477
wySD,0.084,0.089,0.103,0.086,0.064,0.082,0.084,0.089,0.068,0.063,0.093,0.088
N%,23.9,22.8,19.6,33.4,36.8,31.9,36.5,30.9,28.6,22.3,21.9,28.0
E%,15.1,16.1,20.4,16.7,14.4,18.6,11.5,33.6,23.2,27.4,25.3,20.4
S%,39.7,39.5,38.4,28.7,27.3,25.1,28.8,19.0,17.5,27.0,23.3,22.1
W%,21.4,21.6,21.6,21.2,21.6,24.5,23.2,16.5,30.7,23.4,29.5,29.5
slopeMean,23.8,25.4,21.0,19.7,27.0,24.9,27.1,14.1,12.8,17.2,18.6,19.3
