Year,ECJ,CC,LC,OSF,WO
1905,4.216666667,4.021666667,4.472222222,4.35,1.52
1906,3.7,3.633333333,3.705555556,3.55,1.0575
1907,4.261111111,4.116666667,4.286111111,4.141666667,1.6025
1908,4.55,4.406666667,4.661111111,4.727777778,1.9625
1909,1.027777778,0.721666667,0.947222222,0.908333333,-1.8125
1910,6.344444444,6.165,6.508333333,6.502777778,3.6575
1911,2.733333333,2.438333333,2.644444444,2.555555556,-0.1025
1912,0.111111111,0.886666667,1.108333333,1.05,-1.9425
1913,3.866666667,3.6,4.055555556,3.933333333,1.005
1914,5.011111111,4.581666667,4.788888889,4.502777778,2.045
1915,7.044444444,6.706666667,7.275,7.197222222,4.0275
1916,4.55,4.33,4.569444444,4.538888889,1.8
1917,0.372222222,-0.011666667,0.194444444,0.363888889,-2.5375
1918,1.888888889,1.501666667,1.983333333,1.727777778,-1.19
1919,4.427777778,3.998333333,4.488888889,4.458333333,1.4125
1920,0.172222222,-0.125,0.230555556,0.130555556,-2.7575
1921,1.916666667,1.62,1.916666667,1.761111111,-0.9475
1922,-0.794444444,-0.573333333,-0.466666667,-0.405555556,-3.1625
1923,0.933333333,1.051666667,1.922222222,2.244444444,-1.3075
1924,2.266666667,2.895,2.930555556,2.902777778,0.2775
1925,4.522222222,4.195,4.355555556,4.113888889,1.6375
1926,6.366666667,5.643333333,5.697222222,5.877777778,3.435
1927,2.366666667,2.405,2.730555556,2.65,-0.1425
1928,2.327777778,2.035,2.216666667,2.058333333,-0.3425
1929,1.333333333,1.166666667,1.502777778,1.530555556,-1.4525
1930,6.872222222,6.511666667,6.936111111,6.802777778,3.965
1931,4.666666667,4.08,4.333333333,4.205555556,1.6425
1932,3.322222222,3.258333333,3.547222222,3.491666667,0.675
1933,1.461111111,1.241666667,1.605555556,1.788888889,-1.3025
1934,7.461111111,6.628333333,7.108333333,7.116666667,4.415
1935,3.472222222,3.131666667,3.575,3.655555556,0.555
1936,5.188888889,4.436666667,4.555555556,4.977777778,2.0075
1937,1.472222222,1.726666667,2.122222222,1.588888889,-1.3375
1938,4.216666667,3.823333333,4.419444444,4.083333333,1.0175
1939,5.477777778,5.26,5.752777778,5.452777778,2.4675
1940,4.1,4.046666667,4.672222222,4.327777778,1
1941,1.672222222,1.818333333,2.680555556,2.508333333,-1.2725
1942,3.711111111,3.841666667,4.45,4.427777778,0.92
1943,7.388888889,7.26,7.627777778,7.702777778,4.745
1944,1.861111111,1.758333333,2.155555556,2.319444444,-0.79
1945,0.272222222,0.358333333,0.894444444,0.647222222,-2.585
1946,6.172222222,6.106666667,6.358333333,6.286111111,3.5725
1947,2.705555556,2.688333333,3.047222222,3.2,0.0175
1948,3.516666667,3.001666667,3.241666667,3.194444444,0.5025
1949,5.322222222,5.598333333,5.855555556,5.930555556,2.615
1950,3.433333333,3.308333333,3.236111111,3.269444444,0.5525
1951,3.777777778,3.881666667,4.275,4.586111111,0.93
1952,3.777777778,3.17,3.541666667,3.630555556,0.2225
1953,1.383333333,1.641666667,1.986111111,2.136111111,-1.3425
1954,5.2,5.151666667,5.580555556,5.752777778,2.25
1955,1.072222222,0.978333333,1.044444444,1.072222222,-1.7375
1956,3.461111111,3.601666667,3.944444444,4.05,0.6125
1957,2.305555556,2.291666667,2.625,2.605555556,-0.6375
1958,0.905555556,1.065,1.683333333,1.811111111,-2.0575
1959,4.222222222,3.953333333,4.358333333,4.469444444,0.9675
1960,3.95,3.888333333,4.227777778,3.997222222,1.015
1961,2.672222222,2.751666667,2.877777778,2.725,0.11
1962,4.983333333,5.07,5.355555556,5.163888889,2.1875
1963,0.994444444,1.105,1.469444444,1.244444444,-1.72
1964,1.766666667,1.658333333,2.013888889,1.722222222,-1.185
