Year,ECJ,CC,LC,OSF,WO
1905,-4.733333333,-4.876666667,-4.605555556,-4.319444444,-6.3675
1906,-8.383333333,-8.916666667,-8.627777778,-8.275,-10.215
1907,-1.555555556,-2.27,-1.863888889,-1.275,-3.705
1908,-3.566666667,-4.523333333,-4.405555556,-3.816666667,-5.705
1909,-5.961111111,-6.236666667,-5.897222222,-5.522222222,-7.8175
1910,-9.116666667,-10.27666667,-10.025,-9.619444444,-11.4025
1911,-2.633333333,-2.978333333,-2.894444444,-2.627777778,-4.35
1912,-6.405555556,-7.696666667,-7.502777778,-7,-8.99
1913,-6.422222222,-7.643333333,-7.205555556,-6.669444444,-9.1
1914,-6.383333333,-7.161666667,-6.847222222,-5.983333333,-8.5125
1915,-7.477777778,-8.478333333,-8.2,-7.491666667,-9.7225
1916,-4.127777778,-5.001666667,-4.569444444,-3.916666667,-6.3125
1917,-8.705555556,-8.926666667,-8.916666667,-8.019444444,-10.3925
1918,-0.122222222,-0.873333333,-0.85,-0.641666667,-2.3625
1919,-6.033333333,-5.976666667,-5.686111111,-5.347222222,-7.5375
1920,-4.938888889,-6.44,-7.086111111,-7.736111111,-7.3975
1921,-4.983333333,-5.651666667,-5.180555556,-4.588888889,-6.9625
1922,-1.4,-2.073333333,-2.45,-2.133333333,-3.32
1923,-4.422222222,-4.798333333,-4.536111111,-3.988888889,-6.1375
1924,-6.266666667,-6.74,-6.338888889,-5.975,-8.185
1925,-6.844444444,-8.23,-8.736111111,-9.136111111,-9.2975
1926,-2.972222222,-3.298333333,-2.847222222,-2.277777778,-4.875
1927,-5.161111111,-6.476666667,-6.361111111,-5.591666667,-7.5275
1928,-7.222222222,-7.918333333,-7.666666667,-7.075,-9.0725
1929,-5.033333333,-6.863333333,-7.347222222,-7.113888889,-7.5075
1930,-0.638888889,-1.576666667,-1.438888889,-1.102777778,-2.86
1931,-9.15,-10.30333333,-10.04444444,-10.15833333,-11.75
1932,-6.455555556,-8.011666667,-7.994444444,-7.636111111,-8.965
1933,-9.566666667,-10.49,-10.46111111,-9.9,-11.59
1934,-0.827777778,-1.576666667,-1.319444444,-0.794444444,-2.8575
1935,-4.144444444,-4.751666667,-4.494444444,-3.922222222,-6.0625
1936,-3.883333333,-4.966666667,-4.569444444,-4.069444444,-6.065
1937,-4.55,-4.76,-4.35,-3.952777778,-6.72
1938,-2.538888889,-2.781666667,-2.494444444,-2.3,-4.745
1939,-3.922222222,-3.986666667,-3.672222222,-3.466666667,-6.0625
1940,-1.2,-1.578333333,-1.319444444,-1.35,-3.415
1941,-3.361111111,-3.871666667,-3.45,-3.363888889,-5.6475
1942,-3.466666667,-3.641666667,-3.183333333,-2.744444444,-5.5825
1943,-3.261111111,-4.018333333,-3.925,-3.8,-5.4275
1944,-4.138888889,-4.55,-4.211111111,-3.769444444,-6.115
1945,-4.038888889,-4.696666667,-4.677777778,-4.325,-5.895
1946,-6.205555556,-6.961666667,-7.2,-6.916666667,-8.3325
1947,-1.25,-1.58,-1.052777778,-0.811111111,-3.5375
1948,-4.877777778,-5.703333333,-5.825,-5.733333333,-6.8775
1949,-5.238888889,-6.585,-6.472222222,-6.530555556,-7.7725
1950,-5.016666667,-5.378333333,-5.194444444,-4.786111111,-7.1025
1951,-1.427777778,-1.585,-1.444444444,-1.238888889,-3.06
1952,-6.377777778,-7.033333333,-6.888888889,-6.369444444,-8.4975
1953,-4.455555556,-4.921666667,-5.077777778,-4.613888889,-6.3575
1954,-5.822222222,-6.15,-5.808333333,-5.627777778,-7.8625
1955,-4.594444444,-5.421666667,-5.625,-4.802777778,-6.565
1956,-2.55,-2.598333333,-2.127777778,-1.897222222,-4.68
1957,-5.277777778,-5.773333333,-5.547222222,-5.191666667,-7.335
1958,-3.083333333,-3.665,-3.763888889,-3.455555556,-5.125
1959,-1.55,-1.87,-1.269444444,-1.052777778,-3.8075
1960,-3.566666667,-4.178333333,-4.019444444,-3.911111111,-5.615
1961,-4.433333333,-5.031666667,-4.822222222,-4.536111111,-6.6925
1962,-6.105555556,-6.2,-5.586111111,-5.208333333,-8.355
1963,-3.266666667,-3.588333333,-3.377777778,-3.427777778,-5.21
1964,-5.572222222,-5.815,-5.822222222,-6.241666667,-7.175
1965,-4.416666667,-4.64,-3.630555556,-2.908333333,-6.7675
1966,-3.483333333,-4.276666667,-5.122222222,-4.783333333,-5.62
1967,-5.638888889,-6.468333333,-6.388888889,-5.95,-7.93
1968,-7.372222222,-7.956666667,-7.652777778,-7.438888889,-9.6225
1969,-5.844444444,-6.26,-5.575,-5.180555556,-8.16
1970,-3.461111111,-3.963333333,-3.611111111,-3.230555556,-5.5375
1971,-5.322222222,-5.853333333,-5.777777778,-5.447222222,-7.5825
1972,-7.583333333,-8.161666667,-7.708333333,-7.538888889,-9.955
1973,-7.555555556,-8.296666667,-8.330555556,-8.416666667,-9.5925
1974,-3.777777778,-4.101666667,-3.544444444,-3.388888889,-6.0575
1975,-6.161111111,-6.628333333,-5.708333333,-5.5,-8.4125
1976,-3.8,-4.143333333,-3.738888889,-3.583333333,-5.8025
1977,-4.483333333,-4.855,-4.786111111,-4.447222222,-6.235
1978,-2.388888889,-2.631666667,-1.911111111,-1.380555556,-4.6825
1979,-8.022222222,-8.508333333,-7.836111111,-7.322222222,-10.42
1980,-3.033333333,-3.528333333,-4,-4.05,-4.6825
1981,-1.172222222,-1.006666667,-1.747222222,-2.486111111,-2.495
1982,-2.766666667,-2.888333333,-2.225,-1.7,-5.0525
1983,-4.716666667,-5.603333333,-5.622222222,-5.211111111,-6.71
1984,-5.9,-7.063333333,-6.636111111,-6.061111111,-8.8425
1985,-5.766666667,-6.653333333,-7.077777778,-7.158333333,-8.13
1986,-4.788888889,-5.346666667,-6.455555556,-7.336111111,-5.6825
1987,-3.238888889,-4.636666667,-4.269444444,-4.286111111,-6.2725
1988,-5.511111111,-6.92,-6.286111111,-5.947222222,-9.045
1989,-5.511111111,-6.415,-6.088888889,-6.194444444,-7.775
1990,-3.827777778,-4.848333333,-5.138888889,-5.072222222,-6.47
1991,-8.9,-9.535,-10.5,-10.66388889,-10.7
1992,-4.122222222,-4.675,-4.894444444,-4.461111111,-5.955
1993,-6.25,-7.178333333,-7.65,-8.036111111,-8.7675
1994,-4.694444444,-5.293333333,-5.219444444,-4.869444444,-6.6975
1995,-3.944444444,-3.761666667,-3.883333333,-3.65,-5.31
1996,-1.794444444,-2.96,-2.580555556,-2.477777778,-4.9125
1997,-4.405555556,-5.37,-5.272222222,-5.297222222,-7.565
1998,-5.044444444,-6.26,-6.277777778,-5.833333333,-7.4775
1999,-5.016666667,-5.655,-5.880555556,-5.930555556,-7.3175
2000,-4.127777778,-4.775,-4.488888889,-4.138888889,-6.275
2001,-3.944444444,-4.551666667,-4.6,-4.322222222,-5.7825
2002,-6.288888889,-6.428333333,-6.952777778,-6.427777778,-7.705
2003,-3.272222222,-3.883333333,-3.261111111,-2.925,-5.7125
2004,-2.827777778,-3.52,-3.313888889,-2.841666667,-5.1225
2005,-2.911111111,-3.821666667,-3.741666667,-3.311111111,-4.915
2006,-4.722222222,-5.695,-5.444444444,-4.688888889,-6.725
2007,-4.527777778,-4.686666667,-4.413888889,-3.794444444,-5.5625
2008,-5.727777778,-6.356666667,-6.444444444,-5.891666667,-7.8325
2009,-4.722222222,-5.54,-5.155555556,-4.747222222,-7.0775
2010,-6.9,-7.345,-7.211111111,-6.811111111,-8.4275
2011,-1.866666667,-2.356666667,-3.033333333,-2.352777778,-3.7125
2012,-4.205555556,-4.523333333,-5.166666667,-4.247222222,-5.4075
2013,-3.488888889,-4.145,-4.216666667,-3.736111111,-5.905
2014,-5.972222222,-5.898333333,-6.755555556,-6.136111111,-6.7475
2015,-2.038888889,-2.461666667,-2.472222222,-1.663888889,-4.015
2016,-4.383333333,-5.096666667,-5.361111111,-4.297222222,-6.395
2017,-5.038888889,-5.586666667,-6.316666667,-5.4,-6.905
2018,-1.75,-2.068333333,-2.369444444,-1.988888889,-2.945
