Year,ECJ,CC,LC,OSF,WO,ECM,OP,WC,WG
1896,-3.361111111,-3.923333333,-3.538888889,-3.161111111,-4.9275,-2.960526316,-2.935714286,-4.216326531,-3.450788644
1897,-3.994444444,-5.008333333,-5.238888889,-4.711111111,-5.755,-3.589473684,-4.547142857,-4.894897959,-4.586435331
1898,-9.811111111,-10.46833333,-10.20833333,-9.541666667,-11.835,-9.265789474,-9.215714286,-10.93979592,-9.905362776
1899,-4.044444444,-4.871666667,-3.855555556,-2.858333333,-5.97,-3.265789474,-2.692857143,-5.003061224,-3.975709779
1900,-1.844444444,-2.59,-2.405555556,-1.797222222,-3.77,-1.378947368,-1.594285714,-2.687755102,-2.075394322
1901,-3.866666667,-4.88,-4.666666667,-3.516666667,-5.9625,-3.342105263,-3.288571429,-4.823469388,-4.17444795
1902,-4.411111111,-5.098333333,-5,-4.719444444,-6.2725,-4.028947368,-4.684285714,-5.154081633,-4.73785489
1903,-3.366666667,-4.65,-4.580555556,-4.013888889,-5.7125,-3.042105263,-3.851428571,-4.58877551,-4.135646688
1904,-7.9,-8.478333333,-8.086111111,-7.380555556,-9.4875,-7.486842105,-7.154285714,-8.802040816,-8.080757098
1905,-4.016666667,-4.168333333,-3.811111111,-3.411111111,-5.5,-3.413157895,-3.284285714,-4.67755102,-3.860883281
1906,-5.944444444,-6.626666667,-6.408333333,-6.127777778,-7.805,-5.526315789,-6.015714286,-6.81122449,-6.235015773
1907,-4.683333333,-5.041666667,-5.069444444,-4.908333333,-6.385,-4.192105263,-4.782857143,-5.329591837,-4.749842271
1908,-5.422222222,-6.558333333,-6.263888889,-5.225,-7.41,-5.052631579,-4.95,-6.480612245,-5.886435331
1909,-2.522222222,-3.771666667,-2.980555556,-1.85,-5.37,-1.986842105,-1.668571429,-3.965306122,-2.94637224
1910,-5.277777778,-6.525,-6.566666667,-6.236111111,-7.725,-4.873684211,-6.084285714,-6.491836735,-6.018611987
1911,-1.872222222,-3.02,-3.077777778,-2.452777778,-4.0275,-1.521052632,-2.324285714,-2.926530612,-2.522397476
1912,-4.894444444,-5.038333333,-4.630555556,-3.672222222,-6.505,-4.215789474,-3.34,-5.492857143,-4.446687697
1913,-7.588888889,-8.345,-7.772222222,-7.013888889,-9.7675,-7.002631579,-6.868571429,-8.65,-7.737223975
1914,-2.85,-3.653333333,-3.8,-2.863888889,-4.73,-2.302631579,-2.684285714,-3.774489796,-3.199684543
1915,-6.022222222,-7.355,-7.127777778,-6.702777778,-8.2775,-5.636842105,-6.497142857,-7.268367347,-6.820504732
1916,-6.6,-7.543333333,-7.427777778,-6.322222222,-8.39,-6.113157895,-6.101428571,-7.551020408,-6.969085174
1917,-10.86111111,-10.93666667,-10.97777778,-9.861111111,-12.25,-10.00263158,-9.661428571,-11.44387755,-10.50883281
1918,-5.388888889,-6.165,-5.633333333,-5.233333333,-7.6125,-5.155263158,-5.054285714,-6.231632653,-5.638485804
1919,-4.038888889,-4.966666667,-4.797222222,-4.394444444,-6.22,-3.663157895,-4.294285714,-5.140816327,-4.57444795
1920,-3.938888889,-4.263333333,-4.105555556,-3.883333333,-5.65,-3.523684211,-3.81,-4.663265306,-4.097791798
1921,-3.911111111,-4.248333333,-4.066666667,-2.994444444,-5.42,-3.271052632,-2.784285714,-4.451020408,-3.703785489
1922,-9.366666667,-10.09166667,-9.880555556,-9.241666667,-11.295,-8.876315789,-9.004285714,-10.21530612,-9.607255521
