Year,ECJ,CC,LC,OSF,WO
1905,16.75,16.06166667,16.78055556,16.925,13.97
1906,16.49444444,15.86666667,16.31111111,16.125,13.71
1907,16.76666667,15.59666667,16.18333333,16.125,13.37
1908,15.91666667,15.90833333,16.64444444,16.65555556,13.3675
1909,16.18333333,15.70333333,16.14444444,15.98055556,13.255
1910,17.88333333,17.10666667,17.96111111,17.65,14.84
1911,16.36111111,15.36166667,16.18888889,15.96944444,13.1425
1912,15.93333333,14.49833333,15.025,15.08055556,12.2025
1913,15.30555556,14.53,15.23888889,15.17222222,12.1375
1914,16.67222222,15.81833333,16.64166667,16.61666667,13.3725
1915,15.81111111,15.87166667,16.1,16.37777778,12.8275
1916,17.40555556,16.58,17.125,17.24722222,14.385
1917,18.17222222,17.49333333,18.16666667,18.25,14.925
1918,16.27777778,15.835,16.72222222,16.80277778,13.4375
1919,19.17777778,18.12166667,19.38888889,19.45277778,15.755
1920,18.97222222,17.42833333,18.18611111,18.17777778,15.2575
1921,17.66666667,16.54166667,17.40555556,17.56111111,14.1175
1922,16.80555556,15.96666667,16.58333333,16.71111111,13.6825
1923,17.58333333,17.16,17.88333333,17.925,14.8325
1924,17.99444444,16.58333333,17.37222222,17.58888889,14.285
1925,18.79444444,17.51333333,17.90833333,17.78888889,15.235
1926,17.4,16.20333333,16.72222222,16.93611111,13.9425
1927,17.41111111,16.68,17.30277778,17.175,14.2675
1928,16.88888889,16.12333333,16.67222222,16.84166667,13.95
1929,18.37777778,17.315,18.05833333,17.90555556,14.8725
1930,17.92222222,17.08166667,17.875,17.84444444,14.8675
1931,19.93333333,18.255,19.10555556,19.11944444,16.3575
1932,17.48888889,16.37,16.86944444,16.75555556,14.1275
1933,19.46666667,18.13833333,18.81666667,18.91666667,16.01
1934,19.19444444,17.46166667,18.25,18.21111111,15.5075
1935,18.88888889,17.145,18.11388889,18.25833333,15.1375
1936,18.2,17.56333333,18.74444444,18.44166667,14.6125
1937,17.62777778,16.96333333,17.88611111,17.63333333,14.08
1938,16.47777778,15.33,15.99444444,16.02777778,13.13
1939,17.19444444,16.36833333,17.37777778,16.98333333,13.685
1940,18.03888889,17.37333333,18.36666667,18.48888889,14.875
1941,17.35,16.33166667,17.08055556,17.33611111,14.0325
1942,19.12777778,18.01166667,18.61666667,18.83055556,15.725
1943,16.99444444,16.515,17.54166667,17.48611111,13.63
1944,16.77777778,16.19166667,16.84722222,16.62777778,13.505
1945,17.64444444,16.89833333,17.60833333,17.66944444,14.535
1946,18.66666667,17.63666667,18.13611111,18.20833333,15.3425
1947,17.48333333,16.83666667,17.69444444,17.58611111,14.175
1948,16.76666667,16.275,16.95833333,16.85277778,13.6175
1949,17.67222222,16.51833333,17.16111111,17.525,14.2525
1950,15.44444444,15.22833333,15.95277778,16.22777778,12.39
1951,16.87222222,16.33333333,17.175,17.44166667,13.5375
1952,17.08888889,16.27166667,16.8,16.99166667,13.895
1953,19,18.105,18.84722222,18.925,15.675
1954,18.31666667,18.00333333,18.83611111,18.86666667,15.075
1955,16.50555556,16.02166667,16.74444444,16.74722222,13.335
1956,17.83888889,16.61666667,17.40277778,17.625,14.4475
1957,17.54444444,16.46666667,17.05277778,17.13055556,14.275
1958,16.80555556,15.72333333,16.41944444,16.63055556,13.47
1959,18.05555556,17.015,17.55277778,17.69722222,14.74
1960,17.8,17.88166667,18.80555556,19.025,15
1961,17.49444444,17.535,18.36388889,18.38055556,14.63
1962,15.76666667,15.545,16.49722222,16.43333333,12.58
1963,16.96111111,16.67166667,17.26666667,17.19166667,14.155
1964,17.44444444,17.25666667,18.025,17.91388889,14.655
1965,15.8,15.47166667,16.225,16.21111111,12.765
1966,18.03333333,17.71166667,18.63888889,18.76111111,14.9625
1967,17.09444444,16.76333333,17.73888889,17.81944444,13.91
1968,16.71666667,16.48,17.55833333,17.64722222,13.565
1969,16.8,16.38333333,17.33611111,17.42222222,13.8275
1970,16.71111111,16.31666667,17.06388889,16.93611111,13.855
1971,17.31666667,16.67,17.18333333,17.23611111,14.4475
1972,16.88333333,16.45833333,16.73055556,16.73055556,14.0475
1973,16.63888889,16.23666667,16.82777778,16.71388889,13.63
1974,17.26111111,16.69333333,17.5,17.575,14.185
1975,17.98888889,16.745,17.90833333,18.04166667,14.7825
1976,17.43333333,16.91833333,17.61388889,17.45833333,14.3475
1977,16.80555556,16.42166667,17.325,17.08611111,13.6825
1978,17.27777778,16.66666667,17.05277778,16.66944444,14.05
1979,16.92222222,16.79333333,17.12777778,16.88333333,14.1675
1980,17.63333333,17.20166667,17.50833333,17.10833333,14.62
1981,18.04444444,17.31333333,17.73333333,17.51666667,14.905
1982,16.11111111,15.85333333,16.375,16.17222222,13.3925
1983,16.76111111,15.78833333,16.45833333,16.28055556,13.3575
1984,17.19444444,16.42833333,17.23333333,16.94722222,13.825
1985,18.96666667,17.61,18.26944444,17.725,14.775
1986,16.42777778,15.42166667,16.29722222,16.06666667,12.5425
1987,16.21111111,15.23833333,15.88055556,15.07777778,12.635
1988,19.66111111,18.03166667,18.99444444,18.9,15.3625
1989,19.32777778,18.08333333,18.81111111,18.77222222,15.4925
1990,18.18888889,17.07,17.625,17.28333333,14.4475
1991,17.48333333,16.74833333,17.18055556,17.10555556,14.1825
1992,15.65,15.23666667,15.56388889,15.12222222,12.7525
1993,13.48333333,13.085,12.88888889,12.38888889,10.805
1994,18.12777778,17.88833333,18.49722222,18.49166667,15.8025
1995,15.98333333,15.40333333,16.03888889,15.91111111,12.97
1996,18.32222222,17.73333333,18.325,18.26388889,15.45
1997,16.27222222,15.71166667,16.08888889,15.86388889,13.2875
1998,18.97777778,18.19666667,18.91666667,18.99166667,15.82
1999,17.53333333,17.05166667,17.43055556,17.31111111,14.6225
2000,18.85,18.295,19.19444444,19.10277778,16.0925
2001,18.67777778,18.16,18.86111111,18.58333333,15.84
2002,20.16111111,19.395,20.12222222,19.99166667,17.17
2003,20.23888889,19.68833333,20.75833333,20.76111111,17.625
2004,17.63888889,16.91,17.54166667,17.25,14.5625
2005,18.52777778,18.20833333,18.97777778,18.97222222,16.085
2006,19.49444444,19.29833333,19.97777778,19.75,16.8225
2007,20.07777778,19.75833333,20.77222222,20.75,17.2875
2008,18.91666667,18.26333333,19.08055556,18.93055556,15.9525
2009,17.82222222,17.185,17.55277778,17.34444444,14.8025
2010,17.96666667,17.36333333,17.10833333,17.55277778,14.9475
2011,17.65,17.11833333,16.91666667,17.21666667,14.4075
2012,18.87777778,18.35,18.55277778,18.86944444,15.6325
2013,19.18333333,18.47,18.825,19.16666667,16.0675
2014,18.97777778,18.33,18.13055556,18.48055556,16.0125
2015,16.53333333,15.93,16.23888889,16.29444444,13.5225
2016,18.72777778,18.06833333,18.60555556,18.27777778,15.7375
2017,19.71111111,18.76833333,19.65833333,19.70833333,16.2975
