Year,ECJ,CC,LC,OSF,WO
1905,0.972222222,0.85,1.158333333,1.236111111,-1.3725
1906,-1.966666667,-3.015,-3.055555556,-2.427777778,-4.8375
1907,0.861111111,0.498333333,0.822222222,1.027777778,-1.71
1908,-0.866666667,-1.58,-1.383333333,-0.858333333,-3.5675
1909,-2.366666667,-3.096666667,-2.747222222,-1.947222222,-5.205
1910,3.005555556,3.291666667,3.494444444,3.658333333,0.985
1911,0.488888889,-0.165,-0.208333333,0.347222222,-2.15
1912,-3.311111111,-3.305,-3.125,-2.405555556,-5.65
1913,-3.494444444,-4.076666667,-3.783333333,-3.305555556,-6.3475
1914,-0.011111111,-0.76,-0.663888889,0.077777778,-2.545
1915,-0.105555556,-0.883333333,-0.205555556,0.552777778,-2.915
1916,0.65,-0.163333333,0.105555556,0.747222222,-1.935
1917,-6.588888889,-7.708333333,-7.583333333,-6.702777778,-9.3825
1918,0.727777778,0.02,0.088888889,0.161111111,-2.185
1919,-0.872222222,-1.69,-1.338888889,-0.841666667,-3.74
1920,-2.727777778,-3.366666667,-2.825,-2.191666667,-5.5075
1921,0.572222222,0.38,0.491666667,1.083333333,-1.86
1922,-4.361111111,-5.515,-5.3,-4.777777778,-7.2325
1923,-4.861111111,-5.23,-5.041666667,-4.197222222,-7.4925
1924,-4.888888889,-4.951666667,-4.761111111,-4.058333333,-7.285
1925,0.35,0.061666667,0.347222222,0.705555556,-2.1
1926,0.033333333,-0.503333333,-0.155555556,0.266666667,-2.6425
1927,-1.8,-2.586666667,-2.386111111,-1.575,-4.4375
1928,0.311111111,-0.075,0.241666667,0.775,-2.1
1929,-2.038888889,-2.616666667,-2.475,-1.986111111,-4.6475
1930,-0.688888889,-1.198333333,-0.938888889,-0.491666667,-3.2475
1931,-1.055555556,-1.711666667,-1.519444444,-1.191666667,-3.8475
1932,-3.011111111,-3.416666667,-3.4,-2.727777778,-5.495
1933,-1.783333333,-2.511666667,-2.558333333,-2.325,-4.47
1934,3.933333333,3.111666667,3.391666667,3.808333333,1.145
1935,-2.061111111,-2.423333333,-2.116666667,-1.522222222,-4.63
1936,-2.188888889,-3.065,-3.036111111,-2.127777778,-4.8275
1937,-1.955555556,-2.515,-2.719444444,-1.944444444,-4.4675
1938,-1.438888889,-1.701666667,-1.336111111,-1.208333333,-4.28
1939,-0.794444444,-1.16,-1.047222222,-0.780555556,-3.39
1940,0.344444444,0.226666667,0.719444444,0.847222222,-2.46
1941,-0.355555556,-0.588333333,-0.161111111,0.208333333,-3.2125
1942,-4.133333333,-4.806666667,-4.952777778,-5.111111111,-6.93
1943,-1.711111111,-2.196666667,-1.825,-0.975,-4.115
1944,-3.672222222,-4.203333333,-3.955555556,-3.286111111,-6.2375
1945,-1.877777778,-2.53,-2.411111111,-1.938888889,-4.4425
1946,-0.25,-0.345,0.038888889,0.661111111,-2.8125
1947,0.105555556,0.036666667,0.441666667,1.033333333,-2.4625
1948,-5.116666667,-5.446666667,-5.175,-4.566666667,-7.7125
1949,-0.722222222,-1.101666667,-1.230555556,-0.633333333,-3.3575
1950,-1.827777778,-1.993333333,-1.808333333,-1.233333333,-4.415
1951,-3.038888889,-3.515,-3.8,-3.311111111,-5.5875
1952,-4.955555556,-5.965,-6.405555556,-6.130555556,-7.6325
1953,-0.066666667,0.003333333,0.172222222,0.661111111,-2.475
1954,-2.272222222,-2.218333333,-2.025,-1.5,-4.805
1955,-4.072222222,-4.415,-4.808333333,-4.436111111,-6.8725
1956,-1.305555556,-1.37,-1.511111111,-1.180555556,-4.065
1957,-0.472222222,-0.506666667,-0.122222222,0.291666667,-3.2375
1958,-3.511111111,-3.81,-3.630555556,-3.125,-6.065
1959,-1.616666667,-1.511666667,-1.222222222,-0.752777778,-4.1625
1960,-0.127777778,-0.431666667,-0.783333333,-0.525,-2.5225
1961,-1.183333333,-1.371666667,-1.227777778,-0.836111111,-3.7
1962,-3.65,-3.991666667,-4.180555556,-3.394444444,-6.2625
1963,-2.066666667,-2.138333333,-1.755555556,-1.422222222,-4.6975
1964,-6.033333333,-6.746666667,-6.938888889,-6.755555556,-8.57
1965,-3.972222222,-4.085,-4.077777778,-3.313888889,-6.535
1966,-6.17E-18,-0.616666667,-1.558333333,-1.216666667,-2.415
1967,0.272222222,0.198333333,0.236111111,0.733333333,-2.4875
1968,0.044444444,-0.106666667,0.405555556,0.769444444,-2.6975
1969,-4.222222222,-4.938333333,-5.355555556,-4.866666667,-7.0375
1970,-2.872222222,-2.693333333,-1.947222222,-1.616666667,-5.705
1971,-2.372222222,-2.766666667,-2.822222222,-2.530555556,-5.1225
1972,1.705555556,1.583333333,1.905555556,2.108333333,-1.06
1973,-2.588888889,-2.896666667,-2.897222222,-2.563888889,-5.34
1974,0.766666667,0.615,0.658333333,0.666666667,-1.975
1975,-2.266666667,-2.513333333,-2.063888889,-1.972222222,-4.9925
1976,-3.922222222,-4.183333333,-4.483333333,-4.541666667,-6.415
1977,-3.55,-4.173333333,-3.486111111,-2.958333333,-6.245
1978,1.033333333,0.55,0.805555556,1.247222222,-1.5
1979,-1.333333333,-1.546666667,-1.536111111,-1.352777778,-3.9575
1980,-3.127777778,-3.245,-2.461111111,-1.669444444,-5.8
1981,-0.355555556,-0.541666667,0.152777778,0.802777778,-3.0975
1982,-1.65,-1.651666667,-1.127777778,-0.769444444,-4.3225
1983,-0.305555556,-0.55,-0.080555556,0.280555556,-3.1475
1984,-2.088888889,-2.751666667,-2.705555556,-2.913888889,-5.1025
1985,-1.977777778,-3.241666667,-3.916666667,-3.952777778,-5.4
1986,3.244444444,2.411666667,2.786111111,2.783333333,0.04
1987,-1.2,-2.371666667,-1.575,-1.361111111,-5.015
1988,-1.472222222,-2.601666667,-2.194444444,-2.283333333,-5.165
1989,1.583333333,1.228333333,1.430555556,0.925,-1.0625
1990,1.094444444,0.706666667,0.297222222,0.147222222,-1.67
1991,-1.494444444,-1.97,-2.055555556,-1.897222222,-4.625
1992,2.322222222,1.946666667,1.947222222,2.2,-0.455
1993,0.65,1.098333333,0.761111111,1.033333333,-0.865
1994,1.111111111,1.255,1.183333333,1.369444444,-0.935
1995,-0.338888889,-0.525,-0.463888889,-0.480555556,-2.975
1996,-0.627777778,-0.696666667,-0.594444444,-0.391666667,-2.7925
1997,0.388888889,0.363333333,0.211111111,0.225,-1.705
1998,-1.055555556,-1.313333333,-1.566666667,-1.244444444,-3.3225
1999,1.372222222,1.108333333,1.005555556,1.080555556,-1.1825
2000,-0.477777778,-0.855,-0.861111111,-0.666666667,-3.0875
2001,0.733333333,0.335,0.202777778,0.758333333,-1.64
2002,-2.538888889,-2.968333333,-3.227777778,-2.744444444,-5.05
2003,0.261111111,-0.2,-0.080555556,0.266666667,-2.62
2004,2.933333333,2.515,2.727777778,3.266666667,0.6875
2005,0.216666667,-0.493333333,-0.169444444,0.633333333,-2.4425
2006,-1.122222222,-1.931666667,-1.611111111,-0.991666667,-4.2675
2007,2.527777778,2.136666667,2.419444444,2.744444444,0.09
2008,-1.405555556,-2.168333333,-2.222222222,-1.380555556,-4.1325
2009,0.044444444,-0.556666667,-0.591666667,-0.183333333,-2.63
2010,0.2,-0.448333333,0.163888889,0.619444444,-2.3975
2011,-0.1,-0.701666667,-0.922222222,-0.402777778,-2.73
2012,2.427777778,1.94,1.813888889,2.422222222,-0.0225
2013,1.038888889,0.01,0.255555556,0.644444444,-1.745
2014,1.288888889,0.92,1.013888889,1.536111111,-1.205
2015,3.538888889,2.845,2.930555556,3.791666667,1.19
2016,1.822222222,1.313333333,1.122222222,2.005555556,-0.795
2017,3.6,3.053333333,2.438888889,3.436111111,1.115
2018,0.177777778,0.021666667,-0.202777778,0.477777778,-2.02
