Year,ECJ,CC,LC,OSF,WO
1905,6.294444444,6.101666667,6.333333333,6.191666667,3.5675
1906,7.272222222,6.946666667,7.247222222,7,4.5325
1907,6.388888889,6.073333333,6.422222222,6.241666667,3.475
1908,5.427777778,5.473333333,5.819444444,5.613888889,2.78
1909,5.438888889,5.3,5.7,5.591666667,2.705
1910,9.077777778,8.653333333,8.975,8.825,6.1875
1911,7.683333333,7.493333333,7.516666667,7.255555556,4.8625
1912,6.855555556,6.251666667,6.652777778,6.544444444,3.7025
1913,8.844444444,8.381666667,8.880555556,8.841666667,5.81
1914,9.966666667,9.501666667,9.836111111,9.808333333,6.84
1915,7.311111111,6.921666667,7.213888889,7.033333333,4.2075
1916,5.533333333,5.436666667,5.483333333,5.383333333,3.1875
1917,4.444444444,4.435,4.686111111,4.811111111,1.5
1918,6.944444444,6.62,6.988888889,6.608333333,3.9375
1919,9.966666667,9.486666667,10.05,10.16666667,7.1425
1920,8.461111111,7.561666667,8.005555556,7.755555556,5.05
1921,8.727777778,8.015,8.519444444,8.283333333,5.35
1922,7.4,7.315,7.772222222,7.769444444,4.5625
1923,8.088888889,8.181666667,8.461111111,8.347222222,5.65
1924,9.416666667,9.181666667,9.527777778,9.486111111,6.805
1925,10.46666667,9.833333333,9.986111111,9.958333333,7.4125
1926,9.6,9.003333333,9.238888889,8.894444444,6.515
1927,7.705555556,6.716666667,6.766666667,6.594444444,4.5075
1928,10.2,9.98,10.43333333,10.29444444,7.2925
1929,7.755555556,7.205,7.322222222,7.122222222,4.7125
1930,7.166666667,6.406666667,6.791666667,6.613888889,3.8125
1931,8.55,7.783333333,8.161111111,8.022222222,5.3625
1932,8.6,8.068333333,8.641666667,8.519444444,5.6525
1933,5.277777778,4.813333333,5.141666667,5.127777778,2.2275
1934,12.87777778,11.69666667,12.2,12.22777778,9.4575
1935,6.161111111,5.84,6.288888889,6.180555556,3.2125
1936,10.13333333,9.653333333,10.15833333,10.03611111,7.245
1937,9.844444444,9.518333333,9.9,9.811111111,7.12
1938,7.033333333,6.491666667,7.147222222,6.594444444,3.52
1939,9.5,9.078333333,9.594444444,9.455555556,6.345
1940,10.65555556,10.17666667,10.83611111,10.59722222,7.4175
1941,9.166666667,8.901666667,9.519444444,9.488888889,6.08
1942,6.044444444,5.735,6.344444444,6.091666667,3.0175
1943,7.3,7.17,7.630555556,7.725,4.455
1944,8.933333333,8.708333333,9.111111111,9.041666667,6.0775
1945,8.483333333,8.31,8.866666667,8.533333333,5.4425
1946,7.255555556,7.051666667,7.802777778,8.25,4.3925
1947,9.977777778,9.701666667,10.26111111,10.31111111,6.8925
1948,9.205555556,8.485,8.744444444,8.347222222,5.7325
1949,8.277777778,8.38,8.988888889,9.133333333,5.3475
1950,5.522222222,5.466666667,5.888888889,5.975,2.455
1951,7.605555556,7.72,8.227777778,8.35,4.605
1952,8.955555556,8.773333333,9.322222222,9.275,5.72
1953,4.466666667,4.626666667,5.077777778,5.086111111,1.67
1954,9.738888889,9.45,9.883333333,9.847222222,6.5725
1955,7.444444444,7.626666667,8.119444444,8.025,4.675
1956,8.85,8.62,9.113888889,9.130555556,5.805
1957,6.905555556,6.746666667,7.486111111,7.547222222,3.715
1958,10.45555556,10.58666667,11.35,11.67222222,7.4875
1959,6.666666667,6.66,7.125,7.022222222,3.6525
1960,8.061111111,7.76,8.116666667,7.958333333,4.85
1961,8.544444444,8.565,8.886111111,8.777777778,5.6775
1962,7.522222222,7.356666667,7.805555556,7.586111111,4.4175
