Year,ECJ,CC,LC,OSF,WO
1896,5.872222222,5.693333333,6.169444444,6.175,3.63
1897,6.477777778,5.986666667,6.725,6.688888889,3.945
1898,5.383333333,4.946666667,5.208333333,5.163888889,2.8775
1899,3.761111111,3.35,3.733333333,3.644444444,1.285
1900,3.355555556,3.26,3.908333333,4.091666667,1.1825
1901,5.844444444,5.108333333,5.2,5.322222222,3.3525
1902,7.505555556,6.755,7.2,7.316666667,4.87
1903,5.977777778,5.406666667,5.844444444,5.927777778,3.6825
1904,7.066666667,6.153333333,6.077777778,5.861111111,4.3175
1905,5.966666667,5.888333333,6.172222222,6.061111111,3.895
1906,3.194444444,2.913333333,2.994444444,2.797222222,1.07
1907,5.088888889,5.171666667,5.275,4.980555556,3.2575
1908,7.588888889,7.43,7.805555556,7.325,5.1925
1909,3.361111111,2.845,3.216666667,3.241666667,0.9075
1910,6.077777778,6,6.169444444,5.844444444,4.0625
1911,5.405555556,5.816666667,6.305555556,6.175,3.77
1912,5.488888889,4.44,4.677777778,4.647222222,2.505
1913,3.888888889,3.963333333,4.013888889,3.933333333,1.7425
1914,4.088888889,3.713333333,4.191666667,4.205555556,1.705
1915,7.294444444,6.828333333,7.061111111,6.997222222,4.8025
1916,6.305555556,5.936666667,6.097222222,6.122222222,4.03
1917,4.155555556,3.908333333,3.980555556,3.747222222,1.9925
1918,6.55,5.961666667,6.180555556,6.027777778,3.9375
1919,7.3,7.013333333,7.344444444,7.236111111,4.925
1920,1.105555556,1.101666667,1.269444444,1.488888889,-0.9575
1921,3.977777778,3.691666667,3.986111111,3.936111111,1.7125
1922,8.566666667,8.433333333,8.577777778,8.477777778,6.3725
1923,6.944444444,6.918333333,7.197222222,7.288888889,4.96
1924,3.238888889,3.351666667,3.544444444,3.719444444,1.345
1925,5.761111111,5.033333333,5.186111111,5.013888889,3.3625
1926,5.566666667,4.926666667,4.811111111,5.025,3.22
1927,7,6.341666667,6.236111111,6.311111111,4.7525
1928,6.833333333,6.775,6.994444444,7.066666667,4.9175
1929,6.638888889,6.206666667,6.272222222,6.111111111,4.435
1930,6.188888889,6.071666667,6.480555556,6.561111111,4.0175
1931,4.577777778,4.551666667,4.833333333,4.683333333,2.4
1932,7.855555556,7.26,7.436111111,7.430555556,5.4725
1933,5.272222222,4.886666667,5.052777778,4.983333333,2.8925
1934,9.2,8.185,8.263888889,8.55,6.6675
1935,7.938888889,7.191666667,7.555555556,7.522222222,5.4025
1936,5.355555556,5.051666667,5.494444444,5.511111111,3.0575
1937,5.838888889,5.885,6.358333333,6.094444444,3.5375
1938,7.038888889,7.111666667,7.627777778,7.319444444,4.71
1939,6.644444444,6.415,7.013888889,6.775,4.0425
1940,5.622222222,5.515,5.977777778,5.658333333,3.165
1941,7.044444444,6.916666667,7.566666667,7.508333333,4.52
1942,4.122222222,4.348333333,5.061111111,5.125,1.8875
1943,6.427777778,6.296666667,6.872222222,6.941666667,4.02
1944,6.744444444,6.87,7.55,7.55,4.385
1945,8.077777778,7.836666667,8.255555556,8.313888889,5.485
1946,7.294444444,7.2,7.672222222,7.513888889,4.8775
1947,2.733333333,2.475,3.102777778,3.219444444,0.01
1948,7.638888889,7.561666667,8.136111111,8.138888889,5.16
1949,6.527777778,6.535,6.744444444,6.963888889,4.17
1950,3.733333333,3.77,4.063888889,4.111111111,1.195
1951,9.005555556,8.905,8.897222222,9.105555556,6.755
1952,5.138888889,5.136666667,5.733333333,5.755555556,2.5075
1953,9.422222222,9.05,9.377777778,9.327777778,6.7275
1954,6.661111111,6.79,7.255555556,7.308333333,4.1775
1955,6.905555556,6.75,6.9,6.830555556,4.57
1956,6.977777778,6.81,7.127777778,7.133333333,4.465
1957,6.416666667,6.278333333,6.688888889,6.763888889,3.8625
1958,5.588888889,5.771666667,6.225,6.163888889,3.32
1959,7.338888889,7.478333333,7.794444444,7.877777778,5.1525
1960,5.505555556,5.541666667,6.183333333,6.3,2.98
1961,5.827777778,5.82,6.366666667,6.286111111,3.32
1962,4.933333333,4.945,5.233333333,5.180555556,2.6325
1963,7.7,7.671666667,7.858333333,7.916666667,5.4275
1964,9.15,9.316666667,9.791666667,9.661111111,6.8975
1965,7.8,7.62,7.683333333,7.508333333,5.5
1966,7.711111111,7.54,7.588888889,7.405555556,5.385
1967,5.25,5.285,5.322222222,5.258333333,2.995
1968,6.788888889,6.613333333,6.986111111,6.852777778,4.43
1969,5.916666667,5.805,6.186111111,5.988888889,3.5575
1970,2.294444444,2.415,3.180555556,3.052777778,-0.3025
1971,2.955555556,2.806666667,3.263888889,3.261111111,0.595
1972,3.772222222,3.888333333,4.188888889,3.969444444,1.485
1973,6.161111111,6.271666667,6.691666667,6.616666667,3.88
1974,6.966666667,6.746666667,6.741666667,6.541666667,4.58
1975,6.8,6.82,7,6.963888889,4.7425
1976,4.922222222,4.885,5.311111111,5.247222222,2.485
1977,5.011111111,4.515,4.944444444,4.819444444,2.7525
1978,7.455555556,7.081666667,7.419444444,7.122222222,5.0875
1979,7.366666667,7.541666667,7.436111111,7.116666667,5.64
1980,6.955555556,7.198333333,7.55,7.272222222,4.7025
1981,6.061111111,6.111666667,6.213888889,5.886111111,3.9375
1982,4.305555556,4.445,5.008333333,4.977777778,1.9375
1983,3.322222222,3.445,4.108333333,4.030555556,1.215
1984,7.444444444,7.158333333,7.277777778,7.069444444,5.2225
1985,2.255555556,1.963333333,2.736111111,2.883333333,-0.4125
1986,6.1,5.495,5.808333333,5.619444444,3.235
1987,5.594444444,5.291666667,5.713888889,5.675,3
1988,9.111111111,8.053333333,8.263888889,7.786111111,5.9175
1989,9.75,9.213333333,9.602777778,9.433333333,7.2
1990,6.616666667,6.021666667,5.933333333,5.597222222,3.785
1991,6.472222222,5.863333333,5.541666667,5.094444444,3.6225
1992,6.416666667,6.121666667,6.163888889,5.95,4.1425
1993,8.088888889,7.84,7.822222222,7.616666667,5.9225
1994,4.933333333,5.023333333,5.491666667,5.391666667,2.7825
1995,4.805555556,4.841666667,4.930555556,4.683333333,2.4775
1996,5.177777778,5.13,4.980555556,4.788888889,3.045
1997,5.811111111,5.455,5.791666667,5.730555556,3.2825
1998,6.138888889,5.66,5.786111111,5.647222222,3.5025
1999,5.405555556,5.376666667,5.411111111,5.213888889,3.0175
2000,7.572222222,7.451666667,8.008333333,7.980555556,5.6525
2001,5.9,5.703333333,5.708333333,5.475,3.6725
2002,7.45,7.133333333,7.355555556,7.166666667,4.97
2003,4.694444444,4.533333333,4.638888889,4.494444444,2.5175
2004,9.694444444,9.24,9.722222222,9.513888889,7.405
2005,6.316666667,5.921666667,6.480555556,6.366666667,3.7275
2006,7.155555556,7.091666667,7.558333333,7.488888889,5.225
2007,5.4,5.365,5.580555556,5.494444444,3.3125
2008,6.766666667,6.581666667,6.780555556,6.575,4.32
2009,7.411111111,6.91,7.322222222,7.241666667,4.945
2010,3.772222222,3.31,3.65,3.463888889,1.0425
2011,8.194444444,7.611666667,7.855555556,8.247222222,5.555
2012,7.261111111,6.776666667,6.916666667,7.088888889,4.62
2013,7.05,6.511666667,6.202777778,6.444444444,4.6425
2014,5.522222222,4.968333333,5.275,5.436111111,2.9475
2015,8.6,8.103333333,8.080555556,8.419444444,6.1775
2016,9.638888889,9.3,9.6,9.813888889,7.2525
2017,8.616666667,8.241666667,8.188888889,8.463888889,6.1175
2018,5.744444444,5.423333333,5.325,5.269444444,3.59
