Year,ECJ,CC,LC,OSF,WO
1905,11.72222222,11.325,12.04722222,12.09444444,9.255
1906,10.99444444,11.09333333,11.40833333,11.20833333,8.835
1907,11.46666667,10.395,11.08611111,10.58888889,8.335
1908,10.92777778,10.57166667,11.10833333,10.73888889,8.365
1909,10.5,10.39833333,10.89722222,10.77222222,8.1175
1910,12.77222222,12.00666667,12.68888889,12.40833333,9.815
1911,11.18888889,10.92666667,11.70277778,11.31388889,8.7375
1912,6.872222222,6.838333333,7.158333333,6.944444444,4.3
1913,10.85555556,10.52833333,11.14444444,11.05,8.3125
1914,12.13333333,11.17833333,11.65277778,11.61944444,9.0375
1915,9.561111111,9.41,10.04722222,10.30277778,7.0575
1916,11.6,11,11.35277778,11.36666667,9.2075
1917,12.61111111,11.62333333,12.24722222,12.29722222,9.4975
1918,12.8,12.04333333,12.9,12.81388889,9.965
1919,12.83888889,12.44333333,13.31388889,13.21944444,10.055
1920,11.13333333,10.47166667,11.24444444,11.25555556,8.315
1921,10.82222222,10.23,10.80833333,10.71666667,7.995
1922,13.66666667,13.27666667,13.79166667,13.76388889,11.0425
1923,10.93333333,10.74666667,11.43055556,11.37222222,8.4525
1924,12.21111111,11.32,11.82222222,11.42777778,9.18
1925,11.43888889,10.69333333,10.98611111,10.95833333,8.5875
1926,10.96666667,10.15,10.75277778,10.36111111,8.0425
1927,11.54444444,10.93166667,11.25555556,11.20833333,8.77
1928,13.00555556,12.38166667,12.96666667,12.76111111,10.2375
1929,9.988888889,9.753333333,10.24166667,10.06388889,7.48
1930,11.46111111,10.765,11.5,11.38333333,8.545
1931,12.63333333,11.655,12.17777778,11.99722222,9.7675
1932,12.72222222,11.45666667,12.16111111,12.13611111,9.67
1933,13.92222222,12.49666667,12.93055556,12.82777778,10.6425
1934,11.33333333,10.345,11.125,10.95833333,8.365
1935,13.41666667,12.43666667,13.18055556,13.49166667,10.4775
1936,10.82777778,10.38166667,11.16944444,10.8,7.75
1937,14.02777778,13.06166667,13.76111111,13.81388889,11.06
1938,14.26666667,13.14833333,13.92222222,14.27777778,11.1025
1939,12.71111111,11.64166667,12.11111111,12.03888889,9.64
1940,12.76111111,12.31333333,13.04166667,13.09444444,10.025
1941,9.05,8.815,9.8,9.661111111,6.23
1942,12.43888889,11.655,12.44722222,12.56944444,9.6025
1943,13.15555556,12.965,13.80555556,13.47777778,10.2175
1944,12.77222222,11.85,12.51944444,12.51388889,9.885
1945,9.65,9.161666667,10.05833333,9.797222222,6.625
1946,12.06666667,11.58666667,11.99722222,11.94722222,9.525
1947,12.35555556,12.015,12.73055556,12.47222222,9.56
1948,14.28888889,13.23166667,13.55277778,13.53888889,11.16
1949,13.56111111,13,13.60555556,13.80555556,10.7975
1950,10.59444444,11.03,11.73611111,12.025,8.1825
1951,12.1,11.57666667,12.37222222,12.38333333,8.89
1952,14.50555556,13.615,14.2,14.4,11.475
1953,13.42777778,13.075,13.91111111,14,10.2475
