Year,ECJ,CC,LC,OSF,WO
1905,16.77777778,16.00833333,16.85833333,16.94166667,13.815
1906,15.45555556,14.93833333,15.40555556,15.08333333,12.5275
1907,14.62777778,13.63,14.03333333,13.61944444,11.085
1908,14.43888889,14.195,14.66944444,14.4,11.64
1909,16.98333333,16.32,16.65833333,16.4,13.745
1910,15.61111111,15.15333333,15.43055556,15.20277778,12.955
1911,16.73333333,15.29833333,15.83611111,15.575,13.0875
1912,15.43888889,13.95666667,14.53611111,14.57222222,11.5125
1913,15.98333333,15.82,16.55555556,16.65,13.28
1914,16.62222222,15.84,16.48611111,16.58888889,13.46
1915,17.78333333,16.77333333,17.51666667,17.93055556,14.2575
1916,15.42222222,14.91166667,15.525,15.58611111,12.7
1917,15.7,14.81,15.51944444,15.57777778,12.335
1918,15.54444444,14.58,15.55833333,15.13333333,12.385
1919,17.55555556,16.37833333,17.575,17.75555556,13.965
1920,16.16666667,15.52833333,16.41111111,16.40555556,12.945
1921,16.17222222,15.43833333,16.125,16.13333333,12.82
1922,17.41666667,16.735,17.48611111,17.46944444,14.2
1923,15.38888889,14.98833333,15.92222222,15.81111111,12.5375
1924,16.68888889,15.23333333,15.73055556,15.69444444,12.9475
1925,16.2,15.22,15.31944444,15.04166667,12.8
1926,16.98333333,15.98666667,16.53611111,16.31666667,13.48
1927,15.92222222,14.93333333,15.39166667,15.33333333,12.5775
1928,15.8,14.90833333,15.47777778,15.475,12.7025
1929,17.60555556,16.97166667,17.72222222,17.67222222,14.245
1930,16.7,16.105,16.72777778,16.66944444,13.4125
1931,17.61111111,16.36,17.17777778,17.19722222,14.0125
1932,16.79444444,15.48166667,16.10833333,16.125,13.2325
1933,16.03333333,14.82166667,15.45277778,15.51388889,12.6125
1934,18.36111111,16.92166667,17.72777778,17.63333333,14.8025
1935,17.75555556,16.33666667,17.09444444,17.03333333,14.11
1936,16.94444444,16.32666667,17.23611111,16.78055556,13.3975
1937,18.38333333,16.89666667,17.48611111,17.38055556,14.815
1938,17.27777778,15.875,16.4,16.38333333,13.675
1939,16.48333333,15.52666667,16.45277778,16.10277778,12.845
1940,17.92222222,17.05333333,18.2,18.04166667,14.2475
1941,16.15,15.46666667,16.15,16.26111111,12.995
1942,17,16.01666667,16.83611111,16.89166667,13.7775
1943,17.02222222,16.60666667,17.5,17.33611111,13.6675
1944,17.28333333,16.075,16.53333333,16.51388889,13.88
1945,16.6,15.9,16.83611111,17.13333333,13.485
1946,16.86111111,16.20833333,17.05833333,16.76666667,13.5125
1947,16.55,15.64166667,16.13611111,16.12222222,13.3325
1948,16.08333333,16,16.76111111,16.89444444,13.0525
1949,17.41111111,16.50333333,17.17222222,17.35277778,14.02
1950,14.84444444,14.655,15.61944444,15.86944444,11.6475
1951,15.82222222,15.28833333,15.94166667,16.05,12.7125
1952,16.85555556,16.44333333,17.37222222,17.45555556,13.4525
1953,16.23888889,15.93333333,17.15277778,17.44166667,12.86
1954,16.5,15.29166667,16.04166667,16.11388889,12.8675
1955,16.71666667,16.60833333,17.67777778,17.71944444,13.45
1956,16.07777778,14.80833333,15.44722222,15.63611111,12.3325
