Year,ECJ,CC,LC,OSF,WO
1896,-3.888888889,-4.388333333,-3.619444444,-2.586111111,-5.4575
1897,-5.016666667,-5.58,-5.005555556,-4.255555556,-7.1575
1898,-3.494444444,-3.846666667,-3.441666667,-2.552777778,-5.515
1899,-6.077777778,-7.051666667,-6.713888889,-5.391666667,-8.1825
1900,-3.311111111,-4.006666667,-4.127777778,-3.252777778,-5.3275
1901,-2.977777778,-3.811666667,-3.902777778,-3.216666667,-5.1625
1902,-0.816666667,-1.458333333,-0.802777778,-0.736111111,-2.955
1903,-11.51666667,-12.495,-12.60833333,-11.89722222,-13.65
1904,-1.277777778,-2.716666667,-2.613888889,-2.547222222,-3.8475
1905,-4.422222222,-4.99,-4.933333333,-4.111111111,-6.4725
1906,-3.388888889,-3.75,-3.952777778,-3.622222222,-5.235
1907,0.216666667,0.091666667,0.191666667,1.013888889,-1.625
1908,-4.322222222,-5.166666667,-5.486111111,-4.075,-6.44
1909,-4.633333333,-5.591666667,-4.947222222,-3.794444444,-7.4625
1910,-5.772222222,-6.916666667,-6.7,-6.1,-8.5675
1911,-6.6,-7.546666667,-7.733333333,-6.922222222,-8.87
1912,-4.294444444,-4.713333333,-4.766666667,-3.819444444,-6.62
1913,-5.988888889,-6.998333333,-6.902777778,-6.030555556,-8.585
1914,-4.938888889,-5.79,-5.402777778,-4.241666667,-7.165
1915,-2.805555556,-3.668333333,-3.244444444,-2.058333333,-5.01
1916,-3,-3.981666667,-3.936111111,-2.994444444,-5.195
1917,-6.511111111,-6.91,-6.913888889,-5.969444444,-8.3625
1918,-5.994444444,-6.2,-6.125,-5.336111111,-8.0625
1919,-4.094444444,-4.676666667,-4.258333333,-3.461111111,-6.1025
1920,-1.911111111,-2.453333333,-2.022222222,-1.3,-4.14
1921,-3.677777778,-4.163333333,-4.080555556,-3.322222222,-5.69
1922,-6.266666667,-6.611666667,-6.844444444,-6.1,-8.1525
1923,-8.111111111,-8.35,-8.727777778,-8.069444444,-10.0775
1924,-1.177777778,-1.488333333,-1.555555556,-1.008333333,-3.0775
1925,-1.766666667,-2.8,-2.516666667,-1.233333333,-4.03
1926,-1.788888889,-2.345,-2.061111111,-1.436111111,-3.9025
1927,-2.45,-3.325,-3.030555556,-2.177777778,-4.7475
1928,-3.772222222,-5.105,-5.152777778,-3.683333333,-5.9225
1929,-8.277777778,-9.201666667,-9.1,-8.313888889,-10.5525
1930,-0.927777778,-1.525,-1.377777778,-0.791666667,-3.025
1931,-2.561111111,-3.031666667,-3.152777778,-3.016666667,-4.5775
1932,-4.905555556,-5.931666667,-6.080555556,-5.411111111,-7.075
1933,-10.16111111,-11.08666667,-11.05555556,-10.64166667,-12.395
1934,0.95,0.531666667,0.811111111,1.613888889,-1
1935,-2.433333333,-2.733333333,-3.241666667,-2.244444444,-4.2575
1936,-4.088888889,-4.443333333,-4.222222222,-3.611111111,-6.005
1937,-5.316666667,-6.365,-6.316666667,-5.625,-7.7625
1938,-3.383333333,-3.333333333,-2.847222222,-2.391666667,-5.805
1939,-9.55,-9.77,-9.55,-9.05,-11.8125
1940,-3.205555556,-3.173333333,-2.644444444,-1.977777778,-5.545
1941,-1.922222222,-2.591666667,-2.802777778,-2.625,-4.1825
1942,-8.872222222,-9.303333333,-9.388888889,-9.019444444,-11.225
1943,-3.516666667,-4.196666667,-4.25,-3.811111111,-5.46
