Year,ECJ,CC,LC,OSF,WO
1905,-4.016666667,-4.168333333,-3.811111111,-3.411111111,-5.5
1906,-5.944444444,-6.626666667,-6.408333333,-6.127777778,-7.805
1907,-4.683333333,-5.041666667,-5.069444444,-4.908333333,-6.385
1908,-5.422222222,-6.558333333,-6.263888889,-5.225,-7.41
1909,-2.522222222,-3.771666667,-2.980555556,-1.85,-5.37
1910,-5.277777778,-6.525,-6.566666667,-6.236111111,-7.725
1911,-1.872222222,-3.02,-3.077777778,-2.452777778,-4.0275
1912,-4.894444444,-5.038333333,-4.630555556,-3.672222222,-6.505
1913,-7.588888889,-8.345,-7.772222222,-7.013888889,-9.7675
1914,-2.85,-3.653333333,-3.8,-2.863888889,-4.73
1915,-6.022222222,-7.355,-7.127777778,-6.702777778,-8.2775
1916,-6.6,-7.543333333,-7.427777778,-6.322222222,-8.39
1917,-10.86111111,-10.93666667,-10.97777778,-9.861111111,-12.25
1918,-5.388888889,-6.165,-5.633333333,-5.233333333,-7.6125
1919,-4.038888889,-4.966666667,-4.797222222,-4.394444444,-6.22
1920,-3.938888889,-4.263333333,-4.105555556,-3.883333333,-5.65
1921,-3.911111111,-4.248333333,-4.066666667,-2.994444444,-5.42
1922,-9.366666667,-10.09166667,-9.880555556,-9.241666667,-11.295
1923,-3.727777778,-4.23,-3.511111111,-2.527777778,-5.5075
1924,-8.355555556,-8.953333333,-8.855555556,-8.430555556,-10.105
1925,-5.688888889,-7.218333333,-6.927777778,-5.872222222,-8.0425
1926,-5.766666667,-6.875,-6.541666667,-5.613888889,-7.8425
1927,-3.15,-4.053333333,-4.102777778,-3.755555556,-4.9775
1928,-3.955555556,-4.765,-4.494444444,-4.386111111,-5.835
1929,-6.7,-7.7,-7.975,-7.361111111,-8.5925
1930,-8.733333333,-9.95,-10.49444444,-9.711111111,-10.64
1931,-5.961111111,-7.206666667,-7.5,-7.794444444,-8.15
1932,-9.161111111,-10.00666667,-9.975,-9.361111111,-11.025
1933,-5.633333333,-6.448333333,-6.144444444,-5.555555556,-7.5725
1934,-3.794444444,-3.948333333,-3.244444444,-1.933333333,-5.37
1935,-3.083333333,-4.085,-4.35,-3.336111111,-4.94
1936,-5.083333333,-5.883333333,-5.758333333,-5.080555556,-6.7675
1937,-12.03333333,-12.61166667,-12.59166667,-12.23611111,-13.9975
1938,-3.388888889,-3.505,-3.066666667,-2.655555556,-5.435
1939,-5.611111111,-5.598333333,-5.427777778,-5.038888889,-7.5575
1940,-5.411111111,-5.665,-5.208333333,-4.761111111,-7.5425
1941,-4.777777778,-5.516666667,-5.905555556,-5.713888889,-6.7975
1942,-6.544444444,-7.61,-8.036111111,-8.030555556,-8.435
1943,-5.116666667,-5.308333333,-4.7,-3.938888889,-7.05
1944,-6.905555556,-8.41,-8.827777778,-8.863888889,-8.7425
1945,-4.094444444,-4.361666667,-4.144444444,-3.358333333,-5.425
1946,-6.55,-7.336666667,-7.444444444,-7.113888889,-8.3575
1947,-7.472222222,-8.098333333,-7.941666667,-7.386111111,-9.14
1948,-5.061111111,-5.285,-5.266666667,-4.755555556,-6.825
1949,-11.81111111,-13.10333333,-13.48333333,-12.85833333,-13.4475
1950,-6.866666667,-7.023333333,-6.633333333,-6.075,-8.9025
1951,-5.872222222,-6.201666667,-5.963888889,-5.372222222,-7.7875
1952,-6.022222222,-7.006666667,-7.155555556,-6.444444444,-8.0125
1953,-1.283333333,-0.955,-0.044444444,0.561111111,-3.1725
1954,-2.922222222,-3.031666667,-2.7,-2.216666667,-4.82
1955,-8.283333333,-9.015,-9.427777778,-9.213888889,-10.12
1956,-1.972222222,-2.193333333,-1.855555556,-1.238888889,-4.1225
1957,-6.927777778,-7.718333333,-8.058333333,-7.411111111,-9.145
1958,-5.222222222,-6.258333333,-6.647222222,-5.713888889,-7.0475
1959,-3.661111111,-3.596666667,-3.058333333,-2.530555556,-5.6075
1960,-6.533333333,-6.715,-6.494444444,-6.308333333,-8.5225
1961,-3.283333333,-4.378333333,-4.002777778,-3.591666667,-5.285
1962,-7.194444444,-7.88,-8.161111111,-7.769444444,-8.83
1963,-7.933333333,-8.116666667,-7.888888889,-7.669444444,-9.5525
1964,-7.472222222,-7.863333333,-7.955555556,-7.919444444,-9.1575
1965,-3.777777778,-4.02,-3.602777778,-2.888888889,-5.7975
1966,-6.122222222,-6.583333333,-6.713888889,-6.008333333,-8.2275
1967,-4.616666667,-4.865,-4.138888889,-3.688888889,-6.6425
1968,-5.472222222,-6.468333333,-7.013888889,-7.077777778,-7.055
1969,-3.577777778,-3.613333333,-2.855555556,-2.586111111,-5.9525
1970,-4.95,-5.028333333,-3.744444444,-3.186111111,-7.475
1971,-4.994444444,-5.088333333,-4.136111111,-3.944444444,-7.3175
1972,-6.094444444,-6.18,-5.819444444,-5.261111111,-8.1975
1973,-7.7,-8.738333333,-9.108333333,-8.941666667,-9.285
1974,-7.355555556,-7.721666667,-7.325,-7.069444444,-9.575
1975,-7.055555556,-7.376666667,-6.905555556,-6.936111111,-8.8025
1976,-6.222222222,-6.093333333,-6.091666667,-6.019444444,-7.89
1977,-6.683333333,-6.865,-6.419444444,-6.277777778,-8.485
1978,-4.266666667,-4.091666667,-3.319444444,-2.583333333,-5.8025
1979,-9.794444444,-10.345,-10.53611111,-10.25,-11.695
1980,-4.783333333,-4.905,-4.444444444,-3.461111111,-6.54
1981,-2.133333333,-1.558333333,-2.152777778,-2.297222222,-2.98
1982,-6.261111111,-6.651666667,-6.477777778,-6.072222222,-8.1875
1983,-2.422222222,-2.905,-2.680555556,-2.127777778,-4.43
1984,-7.061111111,-7.528333333,-8.402777778,-8.566666667,-8.1825
1985,-6.877777778,-7.43,-8.558333333,-8.605555556,-8.065
1986,-1.683333333,-2.893333333,-3.725,-4.436111111,-3.625
1987,-6.35,-7.07,-7.461111111,-8.086111111,-8.37
1988,-6.116666667,-7.556666667,-7.330555556,-7.497222222,-9.1425
1989,-6.5,-7.155,-6.905555556,-7.033333333,-8.2775
1990,-4.377777778,-5.685,-5.247222222,-5.233333333,-7.7575
1991,-6.527777778,-6.961666667,-7.372222222,-7.161111111,-8.1675
1992,-4.255555556,-4.895,-5.327777778,-5.063888889,-6.0375
1993,-6.1,-6.191666667,-6.808333333,-6.697222222,-7.14
