Year,ECJ,CC,LC,OSF,WO
1905,12.67222222,11.825,12.20833333,12.13611111,9.5875
1906,10.54444444,10.05,10.35277778,10.14166667,7.605
1907,9.5,8.841666667,9.122222222,8.477777778,6.3775
1908,9.527777778,9.098333333,9.361111111,9.133333333,6.6375
1909,13.82222222,13.08666667,13.15833333,12.90277778,10.8025
1910,14.35555556,13.58333333,14.06666667,13.92777778,11.23
1911,12.93333333,12.46166667,12.81388889,12.46944444,10.01
1912,13.61666667,12.49,12.83055556,12.73333333,10.1475
1913,12.51666667,11.83,12.425,12.37777778,9.4
1914,12.27777778,11.49166667,11.87777778,11.65555556,9.0075
1915,11.31111111,10.28333333,10.73055556,10.62777778,7.855
1916,11.23333333,11.015,11.23333333,11.22222222,8.7525
1917,11.38333333,10.68333333,10.93055556,10.49444444,8.02
1918,15.53333333,15.12166667,15.57777778,15.825,12.5225
1919,15.02777778,14.23333333,15.29722222,15.41666667,11.6175
1920,13.71666667,12.39,12.91111111,12.51111111,10.135
1921,14.91111111,13.51333333,13.96944444,13.81111111,11.1475
1922,15.39444444,14.36166667,14.75277778,14.81666667,11.9275
1923,11.18333333,10.69,11.11111111,10.91944444,8.1825
1924,14.95,13.70166667,13.79166667,13.90277778,11.5025
1925,11.97222222,11.00666667,11.33055556,10.99444444,8.6375
1926,15.29444444,14.12166667,14.30277778,14.3,11.9575
1927,14.03888889,13.00833333,13.14444444,12.89166667,10.5925
1928,11.16666667,10.40666667,10.80833333,10.67777778,8.2125
1929,12.83888889,11.66333333,11.90555556,11.61944444,9.2625
1930,13.01666667,11.995,12.38333333,12.26388889,9.885
1931,15.93333333,14.595,15.11666667,15.05555556,12.455
1932,12.43888889,11.695,12.15833333,12.03333333,9.2525
1933,16.46666667,14.95666667,15.65555556,15.53333333,12.9125
1934,13.31111111,12.1,12.66388889,12.53611111,9.83
1935,14.25555556,12.77166667,13.26111111,13.08888889,10.6525
1936,15.28888889,14.25666667,14.85833333,14.68888889,11.8975
1937,12.33333333,11.67166667,12.20833333,11.75555556,9
1938,14.02222222,13.23666667,13.85833333,13.38888889,10.475
1939,11.99444444,11.175,11.62777778,11.28611111,8.5825
1940,14.9,14.79833333,15.30277778,15.33611111,11.8975
1941,12.06666667,11.345,12.08611111,11.975,8.6525
1942,11.88888889,11.23833333,12.00277778,11.73888889,8.5375
1943,11.40555556,10.77666667,11.34444444,11.32777778,8.155
1944,10.57777778,10.02666667,10.48611111,10.08333333,7.3625
1945,9.316666667,9.096666667,9.8,9.677777778,6.145
1946,14.12777778,13.27333333,13.68888889,13.30277778,10.63
1947,10.80555556,10.14333333,10.69722222,10.60555556,7.45
1948,12.20555556,12.155,12.675,12.24722222,9.255
1949,11.46111111,11.33166667,12,11.99166667,8.3675
1950,11.54444444,11.15666667,11.65,11.73055556,8.3475
1951,10.4,10.02833333,10.71666667,10.76944444,7.03
1952,13.87222222,12.94333333,13.30833333,13.27222222,10.3675
1953,12.51666667,12.19333333,12.66388889,12.54166667,9.42
1954,11.68333333,11.26,11.85277778,11.73055556,8.4275
1955,11.67777778,11.44333333,11.95833333,11.73055556,8.535
1956,14.03888889,13.56833333,14.08055556,13.99444444,10.795
1957,12.18888889,11.665,12.30833333,12.23333333,8.7675
1958,13.87222222,13.505,14.14166667,14.17222222,10.6525
1959,14.47777778,14.25,14.79444444,14.80277778,11.3025
1960,13.72222222,13.38833333,13.76111111,13.68888889,10.63
1961,15.13888889,15.08166667,15.83333333,15.96388889,12.2475
1962,12.42777778,11.97166667,12.45277778,12.20277778,9.135
1963,10.97777778,10.78166667,11.16944444,10.75833333,7.9675
1964,10.79444444,10.21666667,10.90555556,10.66666667,7.3725
1965,10.83333333,10.54833333,11.25555556,11.1,7.66
1966,12.89444444,12.39833333,12.78888889,12.63611111,9.64
1967,10.30555556,10.20666667,10.94444444,10.68611111,7.2
1968,12.00555556,11.845,12.60277778,12.36111111,8.805
1969,10.67777778,10.69666667,11.41666667,11.21388889,7.7325
1970,12.17777778,11.845,12.86388889,12.74722222,8.82
1971,12.61666667,12.09166667,12.39722222,12.20555556,9.7725
1972,13.58333333,13.06333333,13.64166667,13.63055556,10.5175
1973,12.40555556,12.095,12.48611111,12.37222222,9.6525
1974,14.32222222,13.85833333,14.10833333,14.03611111,11.425
1975,10.20555556,9.79,10.43888889,10.23611111,7.1575
1976,11.52777778,11.07,11.33611111,11.06666667,8.615
1977,15.73888889,14.55833333,15.25833333,15.03888889,12.3675
1978,12.54444444,11.75166667,12.12222222,11.59444444,9.3125
1979,12.56666667,12.28666667,12.36388889,12.125,9.82
1980,12.59444444,12.29166667,12.23611111,11.58611111,9.875
1981,13.94444444,13.165,13.43611111,12.95,10.6925
1982,12.16666667,11.60666667,11.975,11.81388889,9.18
1983,11.87777778,11.41833333,11.73611111,11.51111111,8.87
1984,11.66666667,10.76333333,11.08611111,10.41111111,8.2925
1985,14.88333333,13.53666667,13.88055556,13.26111111,11.02
1986,16.72222222,14.79833333,15.43333333,14.93333333,11.8075
1987,14.46666667,13.45,13.79722222,13.13333333,10.79
1988,16.78888889,15.16666667,15.75277778,15.32222222,12.52
1989,12.53888889,11.28166667,11.975,12,8.5125
1990,14.21666667,13.11833333,13.02222222,12.58333333,10.555
1991,13.16666667,12.43666667,12.45277778,12.03333333,9.7725
1992,13.2,12.62166667,12.99722222,12.72222222,9.9575
1993,10.38888889,10.525,10.41944444,9.966666667,7.9375
1994,15.02222222,14.73833333,14.70555556,14.36388889,12.49
1995,10.74444444,10.58666667,10.85,10.55277778,7.8225
1996,14.66111111,14.235,14.56388889,14.36944444,11.8075
1997,13.79444444,13.24,13.61388889,13.38055556,10.64
1998,10.08888889,9.788333333,9.752777778,9.347222222,7.145
1999,12.63888889,12.22666667,12.375,12.12777778,9.5475
2000,14.23333333,13.51,14.025,13.74166667,11.2075
2001,14.23333333,13.82166667,13.91111111,13.41944444,11.495
2002,15.02222222,14.49333333,14.83333333,14.54166667,12.38
2003,13.21666667,12.725,13.31666667,13.25,10.1875
2004,13.72222222,13.28833333,13.63055556,13.28055556,10.86
2005,11.75555556,11.35833333,11.59166667,11.16944444,8.78
2006,15.13888889,14.71666667,15.18888889,15.00277778,12.4375
2007,14.96111111,14.82333333,15.25833333,15.08055556,12.5375
2008,13.06666667,12.545,12.9,12.78888889,10.0025
2009,12.03888889,11.56833333,11.80277778,11.6,8.9
2010,13.18888889,12.79833333,12.8,12.42222222,10.3075
2011,12.31111111,11.76666667,11.57222222,11.52222222,9.1375
2012,15.13333333,14.58833333,13.90277778,14.07777778,12.3725
2013,15.21666667,14.535,14.09166667,14.41944444,12.34
2014,13.4,12.74833333,12.43888889,12.67222222,10.49
2015,16.85,16.11833333,16.86944444,16.62777778,13.81
2016,16.6,15.95833333,15.59444444,15.74722222,13.7075
2017,15.65,14.74833333,14.89722222,14.94444444,12.4475
2018,15.73888889,14.85,14.33333333,14.41944444,12.6875
