Year,ECJ,CC,LC,OSF,WO
1905,0.761111111,0.818333333,0.7,0.594444444,-1.1
1906,-0.183333333,-0.286666667,-0.15,-0.027777778,-2.235
1907,-1.816666667,-2.248333333,-2.047222222,-1.688888889,-4.175
1908,-0.433333333,-0.51,-0.347222222,-0.072222222,-2.5225
1909,-2.188888889,-2.328333333,-2.05,-1.8,-4.295
1910,0.405555556,-0.015,0.197222222,0.305555556,-1.9225
1911,1.716666667,1.853333333,2.077777778,2.097222222,-0.085
1912,-2.477777778,-3.266666667,-3.016666667,-2.802777778,-5.005
1913,0.005555556,-0.525,-0.308333333,-0.083333333,-2.325
1914,0.727777778,0.321666667,0.544444444,0.711111111,-1.5775
1915,1,0.03,0.180555556,0.002777778,-1.62
1916,0.111111111,-0.59,-0.402777778,0.080555556,-2.2875
1917,-3.366666667,-3.785,-3.666666667,-3.366666667,-5.7125
1918,2.144444444,1.166666667,1.347222222,0.969444444,-0.705
1919,-2.783333333,-2.998333333,-2.677777778,-2.241666667,-4.7675
1920,-2.144444444,-2.468333333,-2.369444444,-2.011111111,-4.4
1921,-1.95,-1.988333333,-1.888888889,-1.388888889,-4.1525
1922,1.961111111,1.345,1.6,1.902777778,-0.4875
1923,-2.694444444,-2.886666667,-2.572222222,-2.125,-4.8875
1924,0.661111111,0.155,0.375,0.577777778,-1.76
1925,-0.638888889,-1.885,-2.1,-1.719444444,-3.2075
1926,-1.033333333,-2.205,-2.525,-1.727777778,-3.4275
1927,2.105555556,1.228333333,1.475,1.944444444,-0.4425
1928,1.788888889,1.366666667,1.788888889,2.158333333,-0.435
1929,-0.083333333,-1.126666667,-1.088888889,-0.761111111,-2.685
1930,-1.744444444,-2.213333333,-1.961111111,-2.116666667,-4.1825
1931,-3.5,-4.26,-4.430555556,-4.344444444,-6.04
1932,-3.361111111,-4.138333333,-3.775,-3.519444444,-5.7475
1933,1.466666667,0.576666667,0.8,1.036111111,-1.035
1934,1.333333333,0.373333333,0.394444444,0.55,-1.215
1935,1.405555556,0.75,0.975,1.202777778,-1.0675
